cd_code;cd_codeext;cd_etiquet;cd_cd_code;cd_r1_code;cd_r2_code;cd_r3_code;cd_r4_code;cd_prop;cd_gest;cd_user;cd_proptyp;cd_statut;cd_etat;cd_dateaig;cd_dateman;cd_datemes;cd_avct;cd_type;cd_dia_int;cd_dia_ext;cd_color;cd_long;cd_nbcable;cd_occup;cd_comment;cd_creadat;cd_majdate;cd_majsrc;cd_abddate;cd_abdsrc
9164227;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;50,52832831670;;;;29/02/2024;;;;
9164228;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;54,00556965200;;;;29/02/2024;;;;
9164229;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;33,00006043930;;;;29/02/2024;;;;
9164230;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;48,99967842590;;;;29/02/2024;;;;
9118141;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;14,38842416530;;;;14/02/2024;;;;
9118143;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;6,09831773524;;;;14/02/2024;;;;
9281015;;;;SFR_COLL;DSP MAJ - IRISE;T093;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;49,36852231780;;;;07/04/2024;;;;
9281016;;;;SFR_COLL;DSP MAJ - IRISE;T093;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;134,79385983100;;;;07/04/2024;;;;
9281019;;;;SFR_COLL;DSP MAJ - IRISE;T093;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;16,39937732110;;;;07/04/2024;;;;
9249990;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;17,50832563450;;;;18/03/2024;;;;
9250295;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;24,40284725760;;;;18/03/2024;;;;
9250296;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;40,00046236180;;;;18/03/2024;;;;
9250297;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;33,41717877980;;;;18/03/2024;;;;
9249989;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;148,30002371300;;;;18/03/2024;;;;
9250298;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;35,59579964270;;;;18/03/2024;;;;
9227582;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;22,19867928410;;;;18/03/2024;;;;
9227583;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;30,98537251930;;;;18/03/2024;;;;
9227585;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;53,66454287810;;;;18/03/2024;;;;
9227587;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;294,21417335000;;;;18/03/2024;;;;
9054136;;;;SFR_COLL;DSP MAJ - IRISE;T094;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;34,37579109500;;;;29/01/2024;;;;
9207423;;;;SFR_COLL;DSP MAJ - IRISE;T092;2019;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;38,00205374500;;;;08/03/2024;;;;
9075267;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;46,36957073810;;;;01/02/2024;;;;
9075268;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;44,97329023900;;;;01/02/2024;;;;
9075269;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;30,88553224150;;;;01/02/2024;;;;
9142456;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;70,68641965890;;;;26/02/2024;;;;
9226625;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;86,12930036630;;;;18/03/2024;;;;
9226627;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;130,68467658500;;;;18/03/2024;;;;
9135419;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;29,69135879400;;;;22/02/2024;;;;
9059904;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;39,51585039850;;;;31/01/2024;;;;
9059906;;;;SFR_COLL;DSP MAJ - IRISE;T093;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;126,57116361800;;;;30/01/2024;;;;
9059895;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;39,30731150560;;;;31/01/2024;;;;
9059896;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;10,82659728760;;;;31/01/2024;;;;
9059897;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;2,86183279036;;;;31/01/2024;;;;
9140546;;;;SFR_COLL;DSP MAJ - IRISE;T093;2019;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;51,34189644500;;;;23/02/2024;;;;
9145666;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;53,85651028170;;;;14/02/2024;;;;
9140866;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;33,22392150790;;;;22/02/2024;;;;
9140865;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;53,93165625760;;;;22/02/2024;;;;
9140863;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;50,63062362550;;;;22/02/2024;;;;
430297;;;;SFR_COLL;DSP MAJ - IRISE;T93;048;OR11;OR21;OR21;LOC;MCO;OK;;;;E;;;;;448,25712472000;;;;05/07/2013;;;;
426841;;;;SFR_COLL;DSP MAJ - IRISE;T93;048;OR21;OR21;OR21;CST;MCO;OK;;;;E;;;;;2,35610165194;;;;05/07/2013;;;;
426842;;;;SFR_COLL;DSP MAJ - IRISE;T93;048;OR21;OR21;OR21;CST;MCO;OK;;;;E;;;;;2,47862316818;;;;05/07/2013;;;;
485784;;;;SFR_COLL;DSP MAJ - IRISE;T93;048;OR21;OR21;OR21;CST;MCO;OK;;;;E;;;;;4,66755473303;;;;05/07/2013;;;;
490484;;;;SFR_COLL;DSP MAJ - IRISE;T93;048;OR11;OR21;OR21;LOC;MCO;OK;;;;E;;;;;247,50627102000;;;;05/07/2013;;;;
9140862;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;39,07680881590;;;;22/02/2024;;;;
9140861;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;26,81720194570;;;;22/02/2024;;;;
9140860;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;17,43925213190;;;;22/02/2024;;;;
9140859;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;19,31393061600;;;;22/02/2024;;;;
9140858;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;17,67995819690;;;;22/02/2024;;;;
9140857;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;16,91226499910;;;;22/02/2024;;;;
9140856;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;38,71364775800;;;;22/02/2024;;;;
9140855;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;32,97624915560;;;;22/02/2024;;;;
9296056;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;131,32554938700;;;;25/03/2024;;;;
9296057;;;;SFR_COLL;DSP MAJ - IRISE;T092;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;25,11374439310;;;;25/03/2024;;;;
9249662;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;44,14640524240;;;;22/03/2024;;;;
9249663;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;76,29195453810;;;;22/03/2024;;;;
9249664;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;44,74953895640;;;;22/03/2024;;;;
9209665;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;17,88577638800;;;;11/03/2024;;;;
9209658;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;81,12103547390;;;;11/03/2024;;;;
