rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF193;TI;OR309;IDEAOPTICAL;;;;;;;
RF194;TI;OR16;INDETERMINE;;;;;;;
RF195;TI;OR244;GENERIQUE;;;;;;;
RF196;TI;OR308;CORNING;;;;;;;
RF197;TI;OR309;IDEAOPTICAL;;;;;;;
RF198;CS;OR244;GENERIQUE;;;;;;;
RF192;CS;OR244;GENERIQUE;;;;;;;
RF193;CA;OR239;24Fo - Modulo[6]  - FT - G652;;;;;;;
RF194;CA;OR239;288Fo - Modulo [12] - ldcom liseré - G652;;;;;;;
RF195;CA;OR239;288Fo - Modulo [12] - ldcom liseré - G652;;;;;;;
RF196;CA;OR239;12Fo - Modulo [6] - ldcom - G657;;;;;;;
