ti_code;ti_codeext;ti_etiquet;ti_ba_code;ti_prop;ti_etat;ti_type;ti_rf_code;ti_taille;ti_placemt;ti_localis;ti_comment;ti_creadat;ti_majdate;ti_majsrc;ti_abddate;ti_abdsrc
2830441;2830441;COTE DROITE - TIROIR 63;3012250;OR21;;TIROIR;RF194;1;41;;;25/09/2007 00:00;;;;
2844270;2844270;TI-FR-00000337-CABLE 01-144 - AA 085-096;3019589;OR21;;TIROIR;RF194;1;8;;;02/04/2003 00:00;;;;
2813053;2813053;TI-FR-00000307-005 - AD 109-120;3005805;OR21;;TIROIR;RF194;1;5;;;20/11/2002 00:00;;;;
2813213;2813213;TI-FR-000002ZR-013-NC 85 A 96;3005854;OR21;;TIROIR;RF194;1;13;;;23/08/2002 00:00;;;;
2810597;2810597;IA 073-084;3005218;OR21;;TIROIR;RF194;1;7;;;27/05/2003 00:00;;;;
2811828;2811828;AJ 001-012;3005464;OR21;;TIROIR;RF194;1;2;;;24/11/2006 00:00;;;;
2813047;2813047;TI-FR-00000307-015 - AD 217-228;3005805;OR21;;TIROIR;RF194;1;15;;;20/11/2002 00:00;;;;
2811303;2811303;BO-000002Y6-TIROIR 25- AE 025-036;3005379;OR21;;TIROIR;RF194;1;3;;;02/12/2002 00:00;;;;
2830420;2830420;COTE GAUCHE - TIROIR 22;3012250;OR21;;TIROIR;RF194;1;20;;;25/09/2007 00:00;;;;
2811228;2811228;BO-0000043Y-TIROIR 04- AL 037-048;3005372;OR21;;TIROIR;RF194;1;3;;;22/12/2011 00:00;;;;
2811150;2811150;BO-000002Y6-TIROIR 06- AC 073-084;3005379;OR21;;TIROIR;RF194;1;19;;;24/07/2002 00:00;;;;
2822079;2822079;AC 061-072;3008204;OR21;;TIROIR;RF194;1;18;;;06/02/2006 00:00;;;;
2830476;2830476;AA 061-072;3012262;OR21;;TIROIR;RF194;1;6;;;12/06/2007 00:00;;;;
2830411;2830411;COTE GAUCHE - TIROIR 11;3012250;OR21;;TIROIR;RF194;1;11;;;25/09/2007 00:00;;;;
2811149;2811149;BO-000002Y6-TIROIR 07- AC 061-072;3005379;OR21;;TIROIR;RF194;1;18;;;24/07/2002 00:00;;;;
2811302;2811302;BO-000002Y6-TIROIR 26- AE 013-024;3005379;OR21;;TIROIR;RF194;1;2;;;02/12/2002 00:00;;;;
2814123;2814123;TI-FR-00000306-016-FONTENAY-144;3005954;OR21;;TIROIR;RF194;1;16;;;24/09/2002 00:00;;;;
2830425;2830425;COTE DROITE - TIROIR 45;3012250;OR21;;TIROIR;RF194;1;25;;;25/09/2007 00:00;;;;
2844292;2844292;TI-FR-00000337-CABLE 03-072 - AC 061-072;3019589;OR21;;TIROIR;RF194;1;30;;;02/04/2003 00:00;;;;
2822077;2822077;AC 037-048;3008204;OR21;;TIROIR;RF194;1;16;;;06/02/2006 00:00;;;;
2830413;2830413;COTE GAUCHE - TIROIR 15;3012250;OR21;;TIROIR;RF194;1;13;;;25/09/2007 00:00;;;;
2813362;2813362;TI-FR-000002ZR-031-AD 025 A 036;3005854;OR21;;TIROIR;RF194;1;31;;;19/02/2003 00:00;;;;
2823688;2823688;OPEX 1131 001-012;3008958;OR21;;TIROIR;RF194;1;1;;;15/04/2010 00:00;;;;
2831599;2831599;SPE101175;3012580;OR21;;TIROIR;RF194;1;1;;;15/06/2010 00:00;;;;
2810585;2810585;IB 001-012;3005218;OR21;;TIROIR;RF194;1;13;;;13/04/2011 00:00;;;;
2813044;2813044;TI-FR-00000307-012 - AD 001-012;3005805;OR21;;TIROIR;RF194;1;12;;;20/11/2002 00:00;;;;
2844271;2844271;TI-FR-00000337-CABLE 01-144 - AA 097-108;3019589;OR21;;TIROIR;RF194;1;9;;;02/04/2003 00:00;;;;
2830401;2830401;COTE GAUCHE - TIROIR 01;3012250;OR21;;TIROIR;RF194;1;1;;;25/09/2007 00:00;;;;
2811835;2811835;AK 037-048;3005464;OR21;;TIROIR;RF194;1;9;;;30/11/2007 00:00;;;;
2813034;2813034;TI-FR-00000307-AG 097-108;3005805;OR21;;TIROIR;RF194;1;26;;;26/10/2004 00:00;;;;
2811306;2811306;BO-000002Y6-TIROIR 22- AE 061-072;3005379;OR21;;TIROIR;RF194;1;6;;;02/12/2002 00:00;;;;
2814134;2814134;TI-FR-00000306-027-KREMLIN-144;3005954;OR21;;TIROIR;RF194;1;27;;;24/09/2002 00:00;;;;
2830402;2830402;COTE GAUCHE - TIROIR 02;3012250;OR21;;TIROIR;RF194;1;2;;;25/09/2007 00:00;;;;
2844295;2844295;TI-FR-00000337-CABLE 01-144 - AA 025-036;3019589;OR21;;TIROIR;RF194;1;3;;;02/04/2003 00:00;;;;
2813363;2813363;TI-FR-000002ZR-032-AD 037 A 048;3005854;OR21;;TIROIR;RF194;1;32;;;19/02/2003 00:00;;;;
2814136;2814136;TI-FR-00000306-001-48FO;3005954;OR21;;TIROIR;RF194;1;1;;;24/09/2002 00:00;;;;
2830446;2830446;COTE DROITE - TIROIR 68;3012250;OR21;;TIROIR;RF194;1;46;;;25/09/2007 00:00;;;;
2810589;2810589;IB 049-060;3005218;OR21;;TIROIR;RF194;1;17;;;13/04/2011 00:00;;;;
2811236;2811236;BO-0000043Y-TIROIR 12- AL 133-144;3005372;OR21;;TIROIR;RF194;1;11;;;22/12/2011 00:00;;;;
2813205;2813205;TI-FR-000002ZR-005-B SUD 49 A 60;3005854;OR21;;TIROIR;RF194;1;5;;;23/08/2002 00:00;;;;
2830482;2830482;AB 061-072;3012262;OR21;;TIROIR;RF194;1;18;;;12/06/2007 00:00;;;;
2814119;2814119;TI-FR-00000306-012-FONTENAY-144;3005954;OR21;;TIROIR;RF194;1;12;;;24/09/2002 00:00;;;;
2813739;2813739;BAIE BO-000003GO - TIROIR ALCATEL NÂ°2 -AF 049-096;3005786;OR21;;TIROIR;RF194;1;3;;;15/07/2004 00:00;;;;
2813208;2813208;TI-FR-000002ZR-008-NC 13 A 24;3005854;OR21;;TIROIR;RF194;1;8;;;23/08/2002 00:00;;;;
2814137;2814137;TI-FR-00000306-002-48FO;3005954;OR21;;TIROIR;RF194;1;2;;;24/09/2002 00:00;;;;
2813364;2813364;CYA 001-012 - VERS APHP;3005854;OR21;;TIROIR;RF194;1;33;;;20/05/2004 00:00;;;;
2815217;2815217;IA 037-048;3006269;OR21;;TIROIR;RF194;1;4;;;30/05/2008 00:00;;;;
2813224;2813224;TI-FR-000002ZR-024-ST MR 85 A 96;3005854;OR21;;TIROIR;RF194;1;24;;;23/08/2002 00:00;;;;
2811148;2811148;BO-000002Y6-TIROIR 08- AC 049-060;3005379;OR21;;TIROIR;RF194;1;17;;;24/07/2002 00:00;;;;
2813218;2813218;TI-FR-000002ZR-018-ST MR 01 A 12;3005854;OR21;;TIROIR;RF194;1;18;;;23/08/2002 00:00;;;;
2830421;2830421;COTE GAUCHE - TIROIR 23;3012250;OR21;;TIROIR;RF194;1;21;;;25/09/2007 00:00;;;;
2813365;2813365;CYA 013-024 - VERS APHP;3005854;OR21;;TIROIR;RF194;1;34;;;20/05/2004 00:00;;;;
2830410;2830410;COTE GAUCHE - TIROIR 10;3012250;OR21;;TIROIR;RF194;1;10;;;25/09/2007 00:00;;;;
2813038;2813038;TI-FR-00000307-006 - AD 013-024;3005805;OR21;;TIROIR;RF194;1;6;;;20/11/2002 00:00;;;;
2813051;2813051;TI-FR-00000307-003 - AD 157-168;3005805;OR21;;TIROIR;RF194;1;3;;;20/11/2002 00:00;;;;
2813211;2813211;TI-FR-000002ZR-011-NC 61 A 72;3005854;OR21;;TIROIR;RF194;1;11;;;23/08/2002 00:00;;;;
2813738;2813738;TIROIR PROVISOIRE;3005786;OR21;;TIROIR;RF194;1;1;;;22/06/2004 00:00;;;;
2811312;2811312;BO-000002Y6-TIROIR 16- AD 061-072;3005379;OR21;;TIROIR;RF194;1;12;;;02/12/2002 00:00;;;;
2810590;2810590;IB 061-072;3005218;OR21;;TIROIR;RF194;1;18;;;13/04/2011 00:00;;;;
2813028;2813028;TI-FR-00000307-AG 025-036;3005805;OR21;;TIROIR;RF194;1;20;;;26/10/2004 00:00;;;;
2814140;2814140;TI-FR-00000306-005-FONTENAY-144;3005954;OR21;;TIROIR;RF194;1;5;;;24/09/2002 00:00;;;;
2830406;2830406;COTE GAUCHE - TIROIR 06;3012250;OR21;;TIROIR;RF194;1;6;;;25/09/2007 00:00;;;;
2855422;2855422;AA 001-012;3023431;OR21;;TIROIR;RF194;1;2;;;30/06/2009 00:00;;;;
2813039;2813039;TI-FR-00000307-007 - AD 205-216;3005805;OR21;;TIROIR;RF194;1;7;;;20/11/2002 00:00;;;;
2811229;2811229;BO-0000043Y-TIROIR 05- AL 049-060;3005372;OR21;;TIROIR;RF194;1;4;;;22/12/2011 00:00;;;;
2844279;2844279;TI-FR-00000337-CABLE 02-144 - AB 049-060;3019589;OR21;;TIROIR;RF194;1;17;;;02/04/2003 00:00;;;;
2810591;2810591;IA 001-012;3005218;OR21;;TIROIR;RF194;1;1;;;27/05/2003 00:00;;;;
2814144;2814144;TI-FR-00000306-009-FONTENAY-144;3005954;OR21;;TIROIR;RF194;1;9;;;24/09/2002 00:00;;;;
2830433;2830433;COTE DROITE - TIROIR 53;3012250;OR21;;TIROIR;RF194;1;33;;;25/09/2007 00:00;;;;
2830440;2830440;COTE DROITE - TIROIR 62;3012250;OR21;;TIROIR;RF194;1;40;;;25/09/2007 00:00;;;;
2813030;2813030;TI-FR-00000307-AG 049-060;3005805;OR21;;TIROIR;RF194;1;22;;;26/10/2004 00:00;;;;
2830407;2830407;COTE GAUCHE - TIROIR 07;3012250;OR21;;TIROIR;RF194;1;7;;;25/09/2007 00:00;;;;
2813048;2813048;TI-FR-00000307-015 - AD 193-204;3005805;OR21;;TIROIR;RF194;1;16;;;20/11/2002 00:00;;;;
2813220;2813220;TI-FR-000002ZR-020-ST MR 25 A 36;3005854;OR21;;TIROIR;RF194;1;20;;;23/08/2002 00:00;;;;
2810599;2810599;IA 097-108;3005218;OR21;;TIROIR;RF194;1;9;;;27/05/2003 00:00;;;;
2814145;2814145;TI-FR-00000306-010-FONTENAY-144;3005954;OR21;;TIROIR;RF194;1;10;;;24/09/2002 00:00;;;;
2844297;2844297;TI-FR-00000337-CABLE 04-048 - AD- 001-012;3019589;OR21;;TIROIR;RF194;1;31;;;26/02/2007 00:00;;;;
2810595;2810595;IA 049-060;3005218;OR21;;TIROIR;RF194;1;5;;;27/05/2003 00:00;;;;
2810602;2810602;IA 133-144;3005218;OR21;;TIROIR;RF194;1;12;;;27/05/2003 00:00;;;;
2811836;2811836;AK 049-060;3005464;OR21;;TIROIR;RF194;1;10;;;30/11/2007 00:00;;;;
2814120;2814120;TI-FR-00000306-013-FONTENAY-144;3005954;OR21;;TIROIR;RF194;1;13;;;24/09/2002 00:00;;;;
2830431;2830431;COTE DROITE - TIROIR 51;3012250;OR21;;TIROIR;RF194;1;31;;;25/09/2007 00:00;;;;
2811305;2811305;BO-000002Y6-TIROIR 23- AE 049-060;3005379;OR21;;TIROIR;RF194;1;5;;;02/12/2002 00:00;;;;
2810598;2810598;IA 085-096;3005218;OR21;;TIROIR;RF194;1;8;;;27/05/2003 00:00;;;;
2810600;2810600;IA 109-120;3005218;OR21;;TIROIR;RF194;1;10;;;27/05/2003 00:00;;;;
2830426;2830426;COTE DROITE - TIROIR 46;3012250;OR21;;TIROIR;RF194;1;26;;;25/09/2007 00:00;;;;
