cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
1830039;;3291516;;E;;RF192;;12/06/2007 00:00;;;;
1830440;;3290963;;E;;RF192;;08/10/2004 00:00;;;;
1831109;;3291209;;E;;RF192;;19/10/2004 00:00;;;;
1831114;;3291258;;E;;RF192;;19/10/2004 00:00;;;;
1831123;;3291258;;E;;RF192;;19/10/2004 00:00;;;;
1831132;;3291258;;E;;RF192;;19/10/2004 00:00;;;;
1831362;;3291240;;E;;RF192;;19/10/2004 00:00;;;;
1831723;;3286456;;E;;RF192;;19/10/2004 00:00;;;;
1831855;;3290517;;E;;RF192;;19/10/2004 00:00;;;;
1834113;;3290645;;E;;RF192;;25/10/2004 00:00;;;;
1834292;;3290705;;E;;RF192;;25/10/2004 00:00;;;;
1834801;;3284695;;E;;RF192;;25/10/2004 00:00;;;;
1835731;;3288529;;E;;RF192;;20/07/2007 00:00;;;;
1837063;;3291304;;E;;RF192;;30/11/2004 00:00;;;;
1839727;;3291873;;E;;RF192;;09/12/2004 00:00;;;;
1846080;;3289485;;E;;RF192;;08/03/2005 00:00;;;;
1846103;;3289485;;E;;RF192;;08/03/2005 00:00;;;;
1846144;;3289509;;E;;RF192;;08/03/2005 00:00;;;;
1846146;;3289509;;E;;RF192;;08/03/2005 00:00;;;;
1846165;;3289509;;E;;RF192;;08/03/2005 00:00;;;;
1846232;;3289372;;E;;RF192;;08/03/2005 00:00;;;;
1846260;;3288634;;E;;RF192;;08/03/2005 00:00;;;;
1846428;;3289578;;E;;RF192;;08/03/2005 00:00;;;;
1846893;;3286694;;E;;RF192;;08/03/2005 00:00;;;;
1849404;;3285776;;E;;RF192;;25/04/2005 00:00;;;;
1850841;;3290693;;E;;RF192;;15/09/2011 00:00;;;;
1851243;;3292298;;E;;RF192;;25/04/2005 00:00;;;;
1855925;;3292196;;E;;RF192;;24/06/2005 00:00;;;;
1856339;;3291785;;E;;RF192;;24/06/2005 00:00;;;;
1856515;;3291073;;E;;RF192;;03/07/2005 00:00;;;;
1857189;;3287439;;E;;RF192;;03/07/2005 00:00;;;;
1857439;;3288883;;E;;RF192;;03/07/2005 00:00;;;;
1861341;;3286012;;E;;RF192;;19/07/2005 00:00;;;;
1861638;;3291238;;E;;RF192;;19/07/2005 00:00;;;;
1861807;;3287231;;E;;RF192;;19/07/2005 00:00;;;;
1868655;;3291764;;E;;RF192;;19/09/2005 00:00;;;;
1870792;;3288495;;E;;RF192;;28/09/2005 00:00;;;;
1871101;;3291153;;E;;RF192;;28/09/2005 00:00;;;;
1871155;;3291169;;E;;RF192;;28/09/2005 00:00;;;;
1874866;;3287224;;E;;RF192;;14/11/2005 00:00;;;;
1875129;;3287463;;E;;RF192;;14/11/2005 00:00;;;;
1875168;;3287509;;E;;RF192;;14/11/2005 00:00;;;;
1875410;;3287173;;E;;RF192;;14/11/2005 00:00;;;;
1875503;;3287034;;E;;RF192;;14/11/2005 00:00;;;;
1877669;;3284340;;E;;RF192;;17/11/2005 00:00;;;;
1878831;;3292447;;E;;RF192;;17/11/2005 00:00;;;;
1881298;;3290460;;E;;RF192;;20/12/2005 00:00;;;;
1881527;;3291544;;E;;RF192;;20/12/2005 00:00;;;;
1883115;;3290340;;E;;RF192;;21/12/2005 00:00;;;;
1883264;;3288675;;E;;RF192;;21/12/2005 00:00;;;;
1883494;;3289476;;E;;RF192;;21/12/2005 00:00;;;;
1883550;;3284422;;E;;RF192;;21/12/2005 00:00;;;;
1883660;;3288915;;E;;RF192;;21/12/2005 00:00;;;;
1884085;;3284437;;E;;RF192;;21/12/2005 00:00;;;;
1885775;;3288999;;E;;RF192;;31/01/2006 00:00;;;;
1886147;;3287291;;E;;RF192;;31/01/2006 00:00;;;;
1886162;;3288993;;E;;RF192;;31/01/2006 00:00;;;;
1886209;;3287449;;E;;RF192;;31/01/2006 00:00;;;;
1888865;;3290448;;E;;RF192;;10/03/2006 00:00;;;;
1893863;;3286891;;E;;RF192;;25/04/2006 00:00;;;;
1893875;;3286891;;E;;RF192;;25/04/2006 00:00;;;;
1895365;;3285593;;E;;RF192;;26/04/2006 00:00;;;;
1895531;;3286297;;E;;RF192;;26/04/2006 00:00;;;;
1895645;;3285430;;E;;RF192;;26/04/2006 00:00;;;;
1896187;;3291768;;E;;RF192;;26/04/2006 00:00;;;;
1901095;;3289429;;E;;RF192;;13/06/2006 00:00;;;;
1901843;;3289105;;E;;RF192;;13/06/2006 00:00;;;;
1901871;;3290943;;E;;RF192;;13/06/2006 00:00;;;;
1901901;;3290973;;E;;RF192;;13/06/2006 00:00;;;;
1902375;;3285483;;E;;RF192;;13/06/2006 00:00;;;;
1907936;;3287868;;E;;RF192;;01/09/2006 00:00;;;;
1907948;;3287868;;E;;RF192;;01/09/2006 00:00;;;;
1924744;;3290065;;E;;RF192;;31/10/2006 00:00;;;;
1949962;;3292872;;E;;RF192;;12/01/2007 00:00;;;;
1949972;;3292872;;E;;RF192;;12/01/2007 00:00;;;;
1951639;;3290524;;E;;RF192;;23/01/2007 00:00;;;;
1958106;;3288981;;E;;RF192;;01/02/2007 00:00;;;;
1958387;;3285642;;E;;RF192;;02/02/2007 00:00;;;;
1960322;;3285414;;E;;RF192;;06/03/2007 00:00;;;;
1964091;;3291112;;E;;RF192;;28/03/2007 00:00;;;;
1976600;;3290882;;E;;RF192;;15/12/2011 00:00;;;;
1977258;;3289243;;E;;RF192;;17/07/2007 00:00;;;;
1978116;;3290885;;E;;RF192;;26/07/2007 00:00;;;;
1978123;;3290850;;E;;RF192;;26/07/2007 00:00;;;;
1978281;;3290936;;E;;RF192;;31/07/2007 00:00;;;;
1978957;;3291779;;E;;RF192;;08/08/2007 00:00;;;;
1981842;;3284601;;E;;RF192;;22/08/2007 00:00;;;;
1985835;;3292115;;E;;RF192;;18/09/2007 00:00;;;;
1985955;;3292204;;E;;RF192;;18/09/2007 00:00;;;;
1989467;;3291319;;E;;RF192;;02/10/2007 00:00;;;;
1989661;;3291566;;E;;RF192;;02/10/2007 00:00;;;;
1989679;;3291566;;E;;RF192;;02/10/2007 00:00;;;;
1989767;;3290068;;E;;RF192;;02/10/2007 00:00;;;;
1989787;;3290176;;E;;RF192;;02/10/2007 00:00;;;;
1990934;;3285387;;E;;RF192;;22/10/2007 00:00;;;;
1992803;;3290899;;E;;RF192;;12/11/2007 00:00;;;;
1994305;;3286041;;E;;RF192;;30/11/2007 00:00;;;;
2023520;;3289315;;E;;RF192;;16/06/2003 00:00;;;;
2030031;;3290169;;E;;RF192;;04/01/2008 00:00;;;;
2030044;;3290169;;E;;RF192;;04/01/2008 00:00;;;;
2031145;;3283993;;E;;RF192;;10/01/2008 00:00;;;;
2031310;;3283998;;E;;RF192;;10/01/2008 00:00;;;;
2031681;;3283985;;E;;RF192;;10/01/2008 00:00;;;;
2037477;;3291772;;E;;RF192;;04/02/2008 00:00;;;;
2038012;;3292344;;E;;RF192;;08/02/2008 00:00;;;;
2038181;;3291550;;E;;RF192;;27/02/2008 00:00;;;;
2041022;;3290565;;E;;RF192;;20/03/2008 00:00;;;;
2041538;;3290646;;E;;RF192;;25/03/2008 00:00;;;;
2042159;;3290722;;E;;RF192;;25/03/2008 00:00;;;;
2055387;;3292413;;E;;RF192;;06/06/2008 00:00;;;;
2055412;;3292413;;E;;RF192;;06/06/2008 00:00;;;;
2059071;;3291299;;E;;RF192;;01/07/2008 00:00;;;;
2067616;;3284439;;E;;RF192;;29/07/2008 00:00;;;;
2081452;;3290980;;E;;RF192;;03/11/2008 00:00;;;;
2082302;;3284594;;E;;RF192;;18/11/2008 00:00;;;;
2089952;;3286461;;E;;RF192;;17/12/2008 00:00;;;;
2091039;;3291185;;E;;RF192;;06/01/2009 00:00;;;;
2091368;;3285310;;E;;RF192;;12/01/2009 00:00;;;;
2094255;;3291605;;E;;RF192;;26/01/2009 00:00;;;;
2096329;;3284839;;E;;RF192;;10/02/2009 00:00;;;;
2102955;;3286380;;E;;RF192;;09/03/2009 00:00;;;;
2105191;;3286459;;E;;RF192;;10/03/2009 00:00;;;;
2106894;;3288167;;E;;RF192;;26/03/2009 00:00;;;;
2106982;;3288457;;E;;RF192;;26/03/2009 00:00;;;;
2126915;;3289598;;E;;RF192;;21/07/2009 00:00;;;;
2126997;;3289623;;E;;RF192;;20/07/2009 00:00;;;;
2127108;;3290257;;E;;RF192;;21/07/2009 00:00;;;;
2127556;;3288420;;E;;RF192;;21/07/2009 00:00;;;;
2127700;;3289558;;E;;RF192;;21/07/2009 00:00;;;;
2127780;;3289618;;E;;RF192;;21/07/2009 00:00;;;;
2127914;;3289363;;E;;RF192;;21/07/2009 00:00;;;;
2128087;;3289218;;E;;RF192;;21/07/2009 00:00;;;;
2128332;;3289221;;E;;RF192;;21/07/2009 00:00;;;;
2128673;;3290409;;E;;RF192;;21/07/2009 00:00;;;;
2128743;;3290324;;E;;RF192;;21/07/2009 00:00;;;;
2128746;;3290324;;E;;RF192;;21/07/2009 00:00;;;;
2128837;;3288476;;E;;RF192;;21/07/2009 00:00;;;;
2128849;;3288387;;E;;RF192;;21/07/2009 00:00;;;;
2128888;;3289520;;E;;RF192;;20/07/2009 00:00;;;;
2129013;;3289628;;E;;RF192;;20/07/2009 00:00;;;;
2129026;;3289648;;E;;RF192;;20/07/2009 00:00;;;;
2129220;;3288608;;E;;RF192;;21/07/2009 00:00;;;;
2129340;;3288269;;E;;RF192;;20/07/2009 00:00;;;;
2129709;;3288337;;E;;RF192;;20/07/2009 00:00;;;;
2129846;;3288255;;E;;RF192;;20/07/2009 00:00;;;;
2130109;;3287917;;E;;RF192;;20/07/2009 00:00;;;;
2130298;;3288021;;E;;RF192;;20/07/2009 00:00;;;;
2130368;;3288062;;E;;RF192;;20/07/2009 00:00;;;;
2130630;;3287997;;E;;RF192;;20/07/2009 00:00;;;;
2130696;;3288009;;E;;RF192;;20/07/2009 00:00;;;;
2131392;;3290881;;E;;RF192;;03/08/2009 00:00;;;;
2136151;;3290857;;E;;RF192;;23/09/2009 00:00;;;;
2141719;;3288633;;E;;RF192;;30/10/2009 00:00;;;;
2147814;;3289646;;E;;RF192;;09/12/2009 00:00;;;;
2148795;;3284905;;E;;RF192;;11/12/2009 00:00;;;;
2149469;;3291070;;E;;RF192;;15/12/2009 00:00;;;;
2151970;;3290690;;E;;RF192;;05/01/2010 00:00;;;;
2155857;;3292858;;E;;RF192;;01/02/2010 00:00;;;;
2156254;;3292523;;E;;RF192;;04/02/2010 00:00;;;;
2158678;;3290589;;E;;RF192;;21/04/2010 00:00;;;;
2158688;;3290589;;E;;RF192;;21/04/2010 00:00;;;;
2161960;;3290034;;E;;RF192;;15/03/2010 00:00;;;;
2161977;;3290034;;E;;RF192;;15/03/2010 00:00;;;;
2163948;;3283279;;E;;RF192;;29/03/2010 00:00;;;;
2164520;;3289233;;E;;RF192;;08/04/2010 00:00;;;;
2165781;;3290590;;E;;RF192;;20/04/2010 00:00;;;;
2165919;;3284900;;E;;RF192;;20/04/2010 00:00;;;;
2179434;;3291719;;E;;RF192;;13/07/2010 00:00;;;;
2186257;;3284912;;E;;RF192;;20/09/2010 00:00;;;;
2188191;;3287599;;E;;RF192;;07/10/2010 00:00;;;;
2202971;;3291309;;E;;RF192;;02/12/2010 00:00;;;;
2203971;;3284875;;E;;RF192;;11/02/2011 00:00;;;;
2208274;;3290291;;E;;RF192;;18/01/2011 00:00;;;;
2210352;;3288785;;E;;RF192;;26/01/2011 00:00;;;;
2210394;;3291745;;E;;RF192;;26/01/2011 00:00;;;;
2211054;;3291089;;E;;RF192;;02/02/2011 00:00;;;;
2211141;;3291184;;E;;RF192;;02/02/2011 00:00;;;;
2211170;;3291231;;E;;RF192;;02/02/2011 00:00;;;;
2212665;;3284922;;E;;RF192;;10/02/2011 00:00;;;;
2221178;;3284772;;E;;RF192;;05/04/2011 00:00;;;;
2222636;;3287658;;E;;RF192;;13/04/2011 00:00;;;;
2225622;;3289484;;E;;RF192;;13/05/2011 00:00;;;;
2231652;;3287820;;E;;RF192;;14/06/2011 00:00;;;;
2232500;;3291124;;E;;RF192;;20/06/2011 00:00;;;;
2234399;;3291131;;E;;RF192;;29/06/2011 00:00;;;;
2234515;;3290979;;E;;RF192;;29/06/2011 00:00;;;;
2234522;;3290933;;E;;RF192;;29/06/2011 00:00;;;;
2234664;;3290870;;E;;RF192;;29/06/2011 00:00;;;;
2240259;;3289374;;E;;RF192;;07/07/2011 00:00;;;;
2244399;;3290278;;E;;RF192;;12/08/2011 00:00;;;;
2248405;;3291303;;E;;RF192;;05/09/2011 00:00;;;;
2258564;;3292909;;E;;RF192;;12/10/2011 00:00;;;;
2258570;;3292909;;E;;RF192;;12/10/2011 00:00;;;;
2269807;;3285148;;E;;RF192;;25/11/2011 00:00;;;;
2269819;;3285148;;E;;RF192;;25/11/2011 00:00;;;;
2271780;;3291345;;E;;RF192;;05/12/2011 00:00;;;;
2274474;;3284363;;E;;RF192;;27/12/2011 00:00;;;;
2275810;;3287707;;E;;RF192;;29/12/2011 00:00;;;;
2281519;;3290258;;E;;RF192;;23/01/2012 00:00;;;;
2283000;;3284406;;E;;RF192;;31/01/2012 00:00;;;;
2285715;;3289956;;E;;RF192;;09/02/2012 00:00;;;;
2286187;;3289956;;E;;RF192;;09/02/2012 00:00;;;;
2287073;;3290740;;E;;RF192;;13/02/2012 00:00;;;;
2287156;;3286499;;E;;RF192;;15/02/2012 00:00;;;;
2288421;;3288371;;E;;RF192;;17/02/2012 00:00;;;;
2288445;;3288371;;E;;RF192;;17/02/2012 00:00;;;;
2288987;;3292851;;E;;RF192;;21/02/2012 00:00;;;;
2289007;;3292862;;E;;RF192;;21/02/2012 00:00;;;;
2289415;;3291626;;E;;RF192;;21/02/2012 00:00;;;;
2291655;;3284352;;E;;RF192;;29/02/2012 00:00;;;;
2296814;;3284478;;E;;RF192;;12/03/2012 00:00;;;;
2296839;;3284479;;E;;RF192;;12/03/2012 00:00;;;;
2312945;;3284009;;E;;RF192;;17/04/2012 00:00;;;;
2313106;;3284793;;E;;RF192;;17/04/2012 00:00;;;;
2319225;;3289567;;E;;RF192;;26/04/2012 00:00;;;;
2321729;;3283253;;E;;RF192;;03/05/2012 00:00;;;;
2338542;;3290969;;E;;RF192;;13/06/2012 00:00;;;;
2353445;;3285088;;E;;RF192;;19/07/2012 00:00;;;;
2354467;;3284460;;E;;RF192;;19/07/2012 00:00;;;;
2354924;;3291175;;E;;RF192;;23/07/2012 00:00;;;;
2359259;;3292821;;E;;RF192;;07/08/2012 00:00;;;;
2361056;;3284395;;E;;RF192;;10/08/2012 00:00;;;;
2361063;;3284395;;E;;RF192;;10/08/2012 00:00;;;;
2365726;;3288882;;E;;RF192;;29/08/2012 00:00;;;;
2500534;;3286049;;E;;RF192;;18/10/2012 00:00;;;;
2562621;;3507985;;E;;RF192;;05/11/2012 00:00;;;;
2562626;;3507985;;E;;RF192;;05/11/2012 00:00;;;;
2684186;;3658386;;E;;RF192;;05/12/2012 00:00;;;;
2771895;;3756946;;E;;RF192;;21/12/2012 00:00;;;;
2868206;;3899665;;E;;RF192;;22/01/2013 00:00;;;;
2915234;;3961105;;E;;RF192;;06/02/2013 00:00;;;;
3097014;;4139345;;E;;RF192;;20/03/2013 00:00;;;;
3124508;;4195025;;E;;RF192;;28/03/2013 00:00;;;;
3183730;;4268946;;E;;RF192;;15/04/2013 00:00;;;;
3183793;;4268949;;E;;RF192;;15/04/2013 00:00;;;;
3271408;;4374871;;E;;RF192;;07/05/2013 00:00;;;;
3290337;;4391188;;E;;RF192;;15/05/2013 00:00;;;;
