rt_id;rt_code;rt_code_ext;rt_fo_code;rt_fo_ordr;rt_comment;rt_creadat;rt_majdate;rt_majsrc;rt_abddate;rt_abdsrc
100;46213;;FO000000148292;7;;05/07/2023 00:00;;;;
101;47293;;FO000000231737;1;;05/07/2023 00:00;;;;
102;47293;;FO000000232025;2;;05/07/2023 00:00;;;;
103;47293;;FO000000232169;3;;05/07/2023 00:00;;;;
104;47293;;FO000000232313;4;;05/07/2023 00:00;;;;
105;51780;;FO000000182829;1;;05/07/2023 00:00;;;;
106;53886;;FO000000049086;1;;05/07/2023 00:00;;;;
107;57273;;FO000000143738;1;;05/07/2023 00:00;;;;
108;60227;;FO000000062516;1;;05/07/2023 00:00;;;;
109;60227;;FO000000061760;2;;05/07/2023 00:00;;;;
110;62359;;FO000000136961;1;;05/07/2023 00:00;;;;
111;62359;;FO000000137105;2;;05/07/2023 00:00;;;;
112;62359;;FO000000015501;3;;05/07/2023 00:00;;;;
113;62359;;FO000000102777;4;;05/07/2023 00:00;;;;
114;62359;;FO000000137297;5;;05/07/2023 00:00;;;;
115;62359;;FO000000137441;6;;05/07/2023 00:00;;;;
116;62629;;FO000000243144;1;;05/07/2023 00:00;;;;
117;62629;;FO000000243576;2;;05/07/2023 00:00;;;;
118;62629;;FO000000243432;3;;05/07/2023 00:00;;;;
119;62629;;FO000000243288;4;;05/07/2023 00:00;;;;
120;62733;;FO000000134858;1;;05/07/2023 00:00;;;;
121;63058;;FO000000081539;1;;05/07/2023 00:00;;;;
122;63424;;FO000000033157;1;;05/07/2023 00:00;;;;
123;63424;;FO000000032977;2;;05/07/2023 00:00;;;;
124;63424;;FO000000015545;3;;05/07/2023 00:00;;;;
125;63538;;FO000000004941;1;;05/07/2023 00:00;;;;
126;63538;;FO000000019739;2;;05/07/2023 00:00;;;;
127;65297;;FO000000200160;1;;05/07/2023 00:00;;;;
128;65955;;FO000000166215;1;;05/07/2023 00:00;;;;
129;65955;;FO000000166149;2;;05/07/2023 00:00;;;;
130;67252;;FO000000254780;1;;05/07/2023 00:00;;;;
131;67252;;FO000000273031;2;;05/07/2023 00:00;;;;
132;67252;;FO000000254852;3;;05/07/2023 00:00;;;;
133;67816;;FO000000273000;1;;05/07/2023 00:00;;;;
134;69586;;FO000000162981;1;;05/07/2023 00:00;;;;
135;69586;;FO000000162837;2;;05/07/2023 00:00;;;;
136;69586;;FO000000162693;3;;05/07/2023 00:00;;;;
137;69586;;FO000000162549;4;;05/07/2023 00:00;;;;
138;69586;;FO000000162405;5;;05/07/2023 00:00;;;;
139;74222;;FO000000116160;1;;05/07/2023 00:00;;;;
140;96102;;FO000000153561;3;;05/07/2023 00:00;;;;
141;96102;;FO000000096469;4;;05/07/2023 00:00;;;;
142;96102;;FO000000048949;5;;05/07/2023 00:00;;;;
143;96102;;FO000000219324;6;;05/07/2023 00:00;;;;
144;97456;;FO000000039314;3;;05/07/2023 00:00;;;;
145;97456;;FO000000008736;4;;05/07/2023 00:00;;;;
146;97456;;FO000000009408;5;;05/07/2023 00:00;;;;
147;97456;;FO000000009552;6;;05/07/2023 00:00;;;;
148;97456;;FO000000009568;7;;05/07/2023 00:00;;;;
149;98347;;FO000000192072;42;;05/07/2023 00:00;;;;
150;98347;;FO000000192216;43;;05/07/2023 00:00;;;;
151;98347;;FO000000172716;44;;05/07/2023 00:00;;;;
152;98347;;FO000000143424;45;;05/07/2023 00:00;;;;
153;98347;;FO000000018340;46;;05/07/2023 00:00;;;;
154;98347;;FO000000155100;47;;05/07/2023 00:00;;;;
155;98347;;FO000000155244;48;;05/07/2023 00:00;;;;
156;98347;;FO000000156312;49;;05/07/2023 00:00;;;;
157;98347;;FO000000000602;50;;05/07/2023 00:00;;;;
158;98347;;FO000000067372;51;;05/07/2023 00:00;;;;
159;98347;;FO000000045712;52;;05/07/2023 00:00;;;;
160;98347;;FO000000045568;53;;05/07/2023 00:00;;;;
161;98347;;FO000000054400;54;;05/07/2023 00:00;;;;
162;98347;;FO000000054544;55;;05/07/2023 00:00;;;;
163;102839;;FO000000084787;3;;05/07/2023 00:00;;;;
164;102839;;FO000000088651;4;;05/07/2023 00:00;;;;
165;102839;;FO000000084859;5;;05/07/2023 00:00;;;;
166;102839;;FO000000075163;6;;05/07/2023 00:00;;;;
167;102839;;FO000000075903;7;;05/07/2023 00:00;;;;
168;110048;;FO000000081668;16;;05/07/2023 00:00;;;;
169;110048;;FO000000077048;17;;05/07/2023 00:00;;;;
170;120192;;FO000000082792;3;;05/07/2023 00:00;;;;
171;120192;;FO000000031352;4;;05/07/2023 00:00;;;;
172;120482;;FO000000096745;3;;05/07/2023 00:00;;;;
173;120482;;FO000000096265;4;;05/07/2023 00:00;;;;
174;120482;;FO000000031441;5;;05/07/2023 00:00;;;;
175;120482;;FO000000094273;6;;05/07/2023 00:00;;;;
176;120482;;FO000000156165;7;;05/07/2023 00:00;;;;
177;120482;;FO000000156117;8;;05/07/2023 00:00;;;;
178;120482;;FO000000035977;9;;05/07/2023 00:00;;;;
179;120482;;FO000000206733;10;;05/07/2023 00:00;;;;
180;120482;;FO000000214125;11;;05/07/2023 00:00;;;;
181;122411;;FO000000221621;3;;05/07/2023 00:00;;;;
182;122713;;FO000000053236;1;;05/07/2023 00:00;;;;
183;122713;;FO000000053524;2;;05/07/2023 00:00;;;;
184;122713;;FO000000068116;3;;05/07/2023 00:00;;;;
185;129413;;FO000000050401;1;;05/07/2023 00:00;;;;
186;135439;;FO000000024379;1;;05/07/2023 00:00;;;;
187;135795;;FO000000255042;1;;05/07/2023 00:00;;;;
188;137423;;FO000000163895;1;;05/07/2023 00:00;;;;
189;137423;;FO000000164039;2;;05/07/2023 00:00;;;;
190;137423;;FO000000164183;3;;05/07/2023 00:00;;;;
191;137423;;FO000000164327;4;;05/07/2023 00:00;;;;
192;137423;;FO000000164471;5;;05/07/2023 00:00;;;;
193;137423;;FO000000164615;6;;05/07/2023 00:00;;;;
194;137423;;FO000000164759;7;;05/07/2023 00:00;;;;
195;137423;;FO000000164903;8;;05/07/2023 00:00;;;;
196;138321;;FO000000078070;3;;05/07/2023 00:00;;;;
197;138321;;FO000000079132;4;;05/07/2023 00:00;;;;
198;138321;;FO000000079192;5;;05/07/2023 00:00;;;;
199;138321;;FO000000079240;6;;05/07/2023 00:00;;;;
200;139414;;FO000000100849;1;;05/07/2023 00:00;;;;
201;139414;;FO000000100777;2;;05/07/2023 00:00;;;;
202;139414;;FO000000100705;3;;05/07/2023 00:00;;;;
203;139414;;FO000000100633;4;;05/07/2023 00:00;;;;
204;139563;;FO000000048265;1;;05/07/2023 00:00;;;;
205;140272;;FO000000142701;3;;05/07/2023 00:00;;;;
206;141203;;FO000000042473;1;;05/07/2023 00:00;;;;
207;141203;;FO000000041705;2;;05/07/2023 00:00;;;;
208;141203;;FO000000128329;3;;05/07/2023 00:00;;;;
209;142499;;FO000000229382;3;;05/07/2023 00:00;;;;
210;143092;;FO000000088362;1;;05/07/2023 00:00;;;;
211;143092;;FO000000077706;2;;05/07/2023 00:00;;;;
212;143303;;FO000000138124;1;;05/07/2023 00:00;;;;
213;144001;;FO000000192818;3;;05/07/2023 00:00;;;;
214;144295;;FO000000030249;3;;05/07/2023 00:00;;;;
215;146643;;FO000000173373;1;;05/07/2023 00:00;;;;
216;149544;;FO000000189486;11;;05/07/2023 00:00;;;;
217;149544;;FO000000070326;12;;05/07/2023 00:00;;;;
218;149544;;FO000000154014;13;;05/07/2023 00:00;;;;
219;149544;;FO000000153942;14;;05/07/2023 00:00;;;;
220;149544;;FO000000069358;15;;05/07/2023 00:00;;;;
221;149544;;FO000000040818;16;;05/07/2023 00:00;;;;
222;149544;;FO000000237513;17;;05/07/2023 00:00;;;;
223;149544;;FO000000190944;18;;05/07/2023 00:00;;;;
224;149544;;FO000000190800;19;;05/07/2023 00:00;;;;
225;149544;;FO000000190656;20;;05/07/2023 00:00;;;;
226;149544;;FO000000190512;21;;05/07/2023 00:00;;;;
227;149544;;FO000000190500;22;;05/07/2023 00:00;;;;
228;151728;;FO000000034802;1;;05/07/2023 00:00;;;;
229;152033;;FO000000144249;1;;05/07/2023 00:00;;;;
230;152033;;FO000000144213;2;;05/07/2023 00:00;;;;
231;154495;;FO000000196040;1;;05/07/2023 00:00;;;;
232;154495;;FO000000196388;2;;05/07/2023 00:00;;;;
233;154950;;FO000000217193;1;;05/07/2023 00:00;;;;
234;154950;;FO000000217169;2;;05/07/2023 00:00;;;;
235;155145;;FO000000095966;1;;05/07/2023 00:00;;;;
236;157456;;FO000000047834;1;;05/07/2023 00:00;;;;
237;157456;;FO000000013896;2;;05/07/2023 00:00;;;;
238;162385;;FO000000184910;1;;05/07/2023 00:00;;;;
239;162385;;FO000000185054;2;;05/07/2023 00:00;;;;
240;163746;;FO000000262315;1;;05/07/2023 00:00;;;;
241;163746;;FO000000079204;2;;05/07/2023 00:00;;;;
242;163746;;FO000000079144;3;;05/07/2023 00:00;;;;
243;163746;;FO000000078004;4;;05/07/2023 00:00;;;;
244;163746;;FO000000108318;5;;05/07/2023 00:00;;;;
245;163746;;FO000000108366;6;;05/07/2023 00:00;;;;
246;164508;;FO000000114439;1;;05/07/2023 00:00;;;;
247;164508;;FO000000103949;2;;05/07/2023 00:00;;;;
248;164508;;FO000000103805;3;;05/07/2023 00:00;;;;
249;170941;;FO000000107166;1;;05/07/2023 00:00;;;;
250;170941;;FO000000116142;2;;05/07/2023 00:00;;;;
251;173089;;FO000000156148;1;;05/07/2023 00:00;;;;
252;173089;;FO000000156100;2;;05/07/2023 00:00;;;;
253;174421;;FO000000202467;1;;05/07/2023 00:00;;;;
254;174421;;FO000000202611;2;;05/07/2023 00:00;;;;
255;175971;;FO000000197890;1;;05/07/2023 00:00;;;;
256;177450;;FO000000249253;1;;05/07/2023 00:00;;;;
257;177450;;FO000000249397;2;;05/07/2023 00:00;;;;
258;177450;;FO000000249109;3;;05/07/2023 00:00;;;;
259;177450;;FO000000248965;4;;05/07/2023 00:00;;;;
260;177450;;FO000000271306;5;;05/07/2023 00:00;;;;
261;177450;;FO000000272239;6;;05/07/2023 00:00;;;;
262;177631;;FO000000194724;1;;05/07/2023 00:00;;;;
263;181193;;FO000000193318;1;;05/07/2023 00:00;;;;
264;181193;;FO000000193174;2;;05/07/2023 00:00;;;;
265;181548;;FO000000152815;1;;05/07/2023 00:00;;;;
266;182135;;FO000000079022;1;;05/07/2023 00:00;;;;
267;182958;;FO000000049615;1;;05/07/2023 00:00;;;;
268;182958;;FO000000049543;2;;05/07/2023 00:00;;;;
269;182958;;FO000000049471;3;;05/07/2023 00:00;;;;
270;182958;;FO000000048907;4;;05/07/2023 00:00;;;;
271;182958;;FO000000153387;5;;05/07/2023 00:00;;;;
272;187322;;FO000000220422;1;;05/07/2023 00:00;;;;
273;188864;;FO000000219213;1;;05/07/2023 00:00;;;;
274;188864;;FO000000172416;2;;05/07/2023 00:00;;;;
275;188864;;FO000000172560;3;;05/07/2023 00:00;;;;
