bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
3287935;BI 2 RUE LOUIS BLERIOT (CHEVILLY LARUE) - BPE 1;TERRITOIRE;1392987;;OR21;OR1;OR21;CST;MCO;OK;1.1;13/03/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33452605E48.76702350N;13/03/2012;;;;
3287939;N-1 FRESNES(STADE-STALINGRAD) - BPE 1;TERRITOIRE;1392987;;OR21;OR1;OR21;CST;MCO;OK;1.1;13/03/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33458696E48.76713773N;13/03/2012;;;;
3287941;IRS - BI RCE BERGERE (D89) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33463472E48.76938737N;20/07/2009;;;;
3287964;IRS- 19 BD JEAN JAURES SAINT OUEN - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;01/09/2006;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33511082E48.91276432N;01/09/2006;;;;
3287968;IRS-RUE DES ECOLES ST OUEN - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;01/09/2006;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33531008E48.91152590N;01/09/2006;;;;
3287972;IRS - 19 RUE DES ROSIERS - BPE 1;TERRITOIRE;7616008;;OR21;OR1;OR21;CST;MCO;OK;1.1;01/09/2006;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33517981E48.90675986N;01/09/2006;;;;
3287993;IRS- 23 BD JEAN JAURES SAINT OUEN - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;07/09/2006;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33594036E48.91338653N;07/09/2006;;;;
3287997;IRS - BI POLYATHAS (D94) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33599431E48.77940907N;20/07/2009;;;;
3288001;IRS -  INTERSECTION CORDON-BAUER SAINT OUEN - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;01/09/2006;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33617986E48.91218850N;01/09/2006;;;;
3288009;IRS - BI FRETTES_2 (D27) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33640231E48.78017305N;20/07/2009;;;;
