sf_code;sf_nd_code;sf_ad_code;sf_zp_code;sf_escal;sf_etage;sf_oper;sf_type;sf_prop;sf_resid;sf_local;sf_racco;sf_comment;sf_creadat;sf_majdate;sf_majsrc;sf_abddate;sf_abdsrc
24548723;24548723;24548723;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/08/2022;;;;
24607921;24607921;24607921;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/08/2022;;;;
24626483;24626483;24626483;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/08/2022;;;;
24626485;24626485;24626485;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/08/2022;;;;
24660082;24660082;24660082;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/08/2022;;;;
24660084;24660084;24660084;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/08/2022;;;;
24693041;24693041;24693041;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/09/2022;;;;
24747763;24747763;24747763;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/09/2022;;;;
26641528;26641528;26641528;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/01/2023;;;;
29246001;29246001;29246001;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/08/2023;;;;
29810499;29810499;29810499;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/10/2023;;;;
31532083;31532083;31532083;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;15/04/2024;;;;
3461569;3461569;3461569;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/05/2010;;;;
3461676;3461676;3461676;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/06/2006;;;;
3461805;3461805;3461805;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/06/2008;;;;
3461810;3461810;3461810;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/01/2005;;;;
3461846;3461846;3461846;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/04/2004;;;;
3461922;3461922;3461922;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/01/2009;;;;
3461959;3461959;3461959;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/10/2005;;;;
3462517;3462517;3462517;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/07/2012;;;;
3462736;3462736;3462736;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/03/2005;;;;
3462845;3462845;3462845;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/04/2006;;;;
3463008;3463008;3463008;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/11/2005;;;;
3463110;3463110;3463110;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/01/2006;;;;
3463187;3463187;3463187;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/10/2005;;;;
3463198;3463198;3463198;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/07/2005;;;;
3463199;3463199;3463199;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/10/2005;;;;
3463210;3463210;3463210;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/10/2005;;;;
3463241;3463241;3463241;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;13/12/2002;;;;
3463259;3463259;3463259;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/05/2011;;;;
3463261;3463261;3463261;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/08/2005;;;;
3463340;3463340;3463340;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/08/2005;;;;
3463432;3463432;3463432;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/10/2006;;;;
3463496;3463496;3463496;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/11/2010;;;;
3463547;3463547;3463547;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/02/2007;;;;
3463559;3463559;3463559;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;15/02/2007;;;;
3463697;3463697;3463697;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/04/2009;;;;
3463998;3463998;3463998;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/12/2004;;;;
3463999;3463999;3463999;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/06/2004;;;;
3464066;3464066;3464066;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/04/2008;;;;
3464139;3464139;3464139;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/08/2007;;;;
3464193;3464193;3464193;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/04/2011;;;;
3464214;3464214;3464214;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/01/2007;;;;
3464244;3464244;3464244;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/01/2003;;;;
3464299;3464299;3464299;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/03/2008;;;;
3464312;3464312;3464312;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/03/2008;;;;
3464325;3464325;3464325;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/04/2004;;;;
3464337;3464337;3464337;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/02/2010;;;;
3464353;3464353;3464353;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/01/2003;;;;
3464409;3464409;3464409;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/02/2007;;;;
3464450;3464450;3464450;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/01/2011;;;;
3464454;3464454;3464454;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/02/2007;;;;
3464525;3464525;3464525;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/07/2004;;;;
3464530;3464530;3464530;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/01/2009;;;;
3464554;3464554;3464554;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/04/2004;;;;
3464816;3464816;3464816;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/05/2005;;;;
3464848;3464848;3464848;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/04/2009;;;;
3464858;3464858;3464858;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/04/2007;;;;
3464898;3464898;3464898;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/01/2006;;;;
3464937;3464937;3464937;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/01/2006;;;;
3464938;3464938;3464938;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/04/2004;;;;
3465088;3465088;3465088;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/12/2003;;;;
3465127;3465127;3465127;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3465140;3465140;3465140;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3465160;3465160;3465160;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/05/2005;;;;
3465221;3465221;3465221;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/07/2009;;;;
3465236;3465236;3465236;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/07/2005;;;;
3465251;3465251;3465251;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/07/2005;;;;
3489281;3489281;3489281;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/09/2012;;;;
3537297;3537297;3537297;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/10/2012;;;;
4432003;4432003;4432003;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/04/2013;;;;
4477761;4477761;4477761;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/04/2013;;;;
4622737;4622737;4622737;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/05/2013;;;;
4693793;4693793;4693793;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/05/2013;;;;
4781761;4781761;4781761;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/06/2013;;;;
5230433;5230433;5230433;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/10/2013;;;;
5393601;5393601;5393601;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/11/2013;;;;
5884289;5884289;5884289;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/04/2014;;;;
5991105;5991105;5991105;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/06/2014;;;;
6399137;6399137;6399137;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/10/2014;;;;
6466657;6466657;6466657;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/11/2014;;;;
7732945;7732945;7732945;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/08/2016;;;;
8397393;8397393;8397393;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/01/2017;;;;
11145817;11145817;11145817;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/01/2019;;;;
11339728;11339728;11339728;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/02/2019;;;;
12346434;12346434;12346434;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/07/2019;;;;
12359279;12359279;12359279;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/08/2019;;;;
12370115;12370115;12370115;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/08/2019;;;;
14572033;14572033;14572033;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/04/2020;;;;
14976200;14976200;14976200;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/06/2020;;;;
15311558;15311558;15311558;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/07/2020;;;;
15447233;15447233;15447233;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/07/2020;;;;
15454594;15454594;15454594;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/07/2020;;;;
16023873;16023873;16023873;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/09/2020;;;;
16136535;16136535;16136535;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/09/2020;;;;
16156051;16156051;16156051;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/09/2020;;;;
16188370;16188370;16188370;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/10/2020;;;;
16231571;16231571;16231571;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/10/2020;;;;
16231889;16231889;16231889;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/10/2020;;;;
16254643;16254643;16254643;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/10/2020;;;;
16357029;16357029;16357029;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/10/2020;;;;
18353205;18353205;18353205;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/05/2021;;;;
18421361;18421361;18421361;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/05/2021;;;;
19268730;19268730;19268730;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/07/2021;;;;
19268731;19268731;19268731;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/07/2021;;;;
19370482;19370482;19370482;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/08/2021;;;;
19596081;19596081;19596081;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/08/2021;;;;
19616881;19616881;19616881;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/08/2021;;;;
19658808;19658808;19658808;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/08/2021;;;;
19700083;19700083;19700083;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/09/2021;;;;
19729521;19729521;19729521;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/09/2021;;;;
19927921;19927921;19927921;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/09/2021;;;;
21951615;21951615;21951615;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/01/2022;;;;
21980415;21980415;21980415;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/01/2022;;;;
21992244;21992244;21992244;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/01/2022;;;;
22122165;22122165;22122165;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/02/2022;;;;
22296882;22296882;22296882;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/02/2022;;;;
22312562;22312562;22312562;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/02/2022;;;;
22414641;22414641;22414641;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/03/2022;;;;
22904561;22904561;22904561;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/04/2022;;;;
24581365;24581365;24581365;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/08/2022;;;;
24595134;24595134;24595134;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/08/2022;;;;
24607922;24607922;24607922;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/08/2022;;;;
24621681;24621681;24621681;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/08/2022;;;;
24680570;24680570;24680570;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/08/2022;;;;
27317681;27317681;27317681;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/03/2023;;;;
30180081;30180081;30180081;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/11/2023;;;;
30605362;30605362;30605362;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/12/2023;;;;
30807283;30807283;30807283;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/01/2024;;;;
31520241;31520241;31520241;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/04/2024;;;;
3461279;3461279;3461279;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/04/2004;;;;
3461314;3461314;3461314;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/01/2006;;;;
3461368;3461368;3461368;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/04/2010;;;;
3461415;3461415;3461415;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/11/2004;;;;
3461440;3461440;3461440;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/04/2005;;;;
3461498;3461498;3461498;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/06/2010;;;;
3461999;3461999;3461999;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/04/2011;;;;
3462055;3462055;3462055;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/03/2007;;;;
3462641;3462641;3462641;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/08/2010;;;;
3462906;3462906;3462906;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/11/2005;;;;
3462918;3462918;3462918;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/11/2005;;;;
3462987;3462987;3462987;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/11/2005;;;;
3463140;3463140;3463140;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/10/2005;;;;
3463357;3463357;3463357;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;15/12/2005;;;;
3463444;3463444;3463444;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/10/2006;;;;
3463507;3463507;3463507;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/10/2006;;;;
3463827;3463827;3463827;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/09/2009;;;;
3463861;3463861;3463861;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;15/11/2002;;;;
3464027;3464027;3464027;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/01/2006;;;;
3464057;3464057;3464057;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/12/2003;;;;
3464063;3464063;3464063;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/07/2008;;;;
3464200;3464200;3464200;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;13/11/2008;;;;
3464210;3464210;3464210;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/11/2010;;;;
3464221;3464221;3464221;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/06/2003;;;;
3464232;3464232;3464232;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/01/2006;;;;
3464256;3464256;3464256;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/07/2006;;;;
3464314;3464314;3464314;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/10/2006;;;;
3464361;3464361;3464361;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/12/2010;;;;
3464408;3464408;3464408;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/07/2010;;;;
3464469;3464469;3464469;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/02/2011;;;;
3464495;3464495;3464495;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/11/2006;;;;
3464514;3464514;3464514;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/07/2010;;;;
3464531;3464531;3464531;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/01/2009;;;;
3464534;3464534;3464534;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/07/2004;;;;
3464540;3464540;3464540;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/07/2012;;;;
3464548;3464548;3464548;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/07/2005;;;;
3464621;3464621;3464621;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/05/2005;;;;
3464826;3464826;3464826;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/12/2007;;;;
3464952;3464952;3464952;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/02/2010;;;;
3464955;3464955;3464955;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/07/2011;;;;
3464977;3464977;3464977;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/07/2007;;;;
3465010;3465010;3465010;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/02/2006;;;;
3465032;3465032;3465032;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/02/2006;;;;
3465091;3465091;3465091;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/01/2006;;;;
3465092;3465092;3465092;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3465108;3465108;3465108;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/02/2007;;;;
3465129;3465129;3465129;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3465130;3465130;3465130;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3465184;3465184;3465184;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/10/2004;;;;
3465259;3465259;3465259;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
3465301;3465301;3465301;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/03/2005;;;;
4380801;4380801;4380801;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/03/2013;;;;
4501761;4501761;4501761;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/04/2013;;;;
4694721;4694721;4694721;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/05/2013;;;;
4707522;4707522;4707522;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/06/2013;;;;
4791378;4791378;4791378;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/06/2013;;;;
5000641;5000641;5000641;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/07/2013;;;;
5274289;5274289;5274289;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/10/2013;;;;
5424961;5424961;5424961;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/12/2013;;;;
5835249;5835249;5835249;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/04/2014;;;;
6139537;6139537;6139537;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/07/2014;;;;
6163201;6163201;6163201;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/07/2014;;;;
6490017;6490017;6490017;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/11/2014;;;;
6607121;6607121;6607121;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/02/2015;;;;
6786049;6786049;6786049;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/07/2015;;;;
6977057;6977057;6977057;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/10/2015;;;;
8367602;8367602;8367602;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/01/2017;;;;
11087249;11087249;11087249;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/12/2018;;;;
11381013;11381013;11381013;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/03/2019;;;;
11748994;11748994;11748994;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/05/2019;;;;
11976256;11976256;11976256;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/06/2019;;;;
12333332;12333332;12333332;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/07/2019;;;;
12352516;12352516;12352516;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/08/2019;;;;
12370113;12370113;12370113;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/08/2019;;;;
12734321;12734321;12734321;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/09/2019;;;;
12734322;12734322;12734322;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/09/2019;;;;
13350946;13350946;13350946;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/12/2019;;;;
13839252;13839252;13839252;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/02/2020;;;;
13912514;13912514;13912514;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/02/2020;;;;
13912515;13912515;13912515;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/02/2020;;;;
14016546;14016546;14016546;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/02/2020;;;;
14820372;14820372;14820372;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/05/2020;;;;
15302915;15302915;15302915;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/07/2020;;;;
15494929;15494929;15494929;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/07/2020;;;;
16156049;16156049;16156049;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/09/2020;;;;
16189969;16189969;16189969;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/10/2020;;;;
16245974;16245974;16245974;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/10/2020;;;;
16245975;16245975;16245975;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/10/2020;;;;
16392865;16392865;16392865;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/10/2020;;;;
19227442;19227442;19227442;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/07/2021;;;;
19364725;19364725;19364725;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/08/2021;;;;
19705841;19705841;19705841;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/09/2021;;;;
21948414;21948414;21948414;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/01/2022;;;;
21988416;21988416;21988416;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/01/2022;;;;
23169201;23169201;23169201;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/04/2022;;;;
24510962;24510962;24510962;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/08/2022;;;;
24548727;24548727;24548727;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/08/2022;;;;
24654643;24654643;24654643;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/08/2022;;;;
26569841;26569841;26569841;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/01/2023;;;;
31574641;31574641;31574641;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/04/2024;;;;
31746178;31746178;31746178;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/05/2024;;;;
3461273;3461273;3461273;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/04/2005;;;;
3461311;3461311;3461311;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/12/2007;;;;
3461436;3461436;3461436;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/07/2003;;;;
3461465;3461465;3461465;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/02/2011;;;;
3461506;3461506;3461506;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/02/2011;;;;
3461696;3461696;3461696;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/01/2008;;;;
3462623;3462623;3462623;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/02/2012;;;;
3462816;3462816;3462816;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/11/2002;;;;
3462894;3462894;3462894;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/11/2005;;;;
3462924;3462924;3462924;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/02/2008;;;;
3463005;3463005;3463005;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/11/2005;;;;
3463052;3463052;3463052;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/08/2004;;;;
3463203;3463203;3463203;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/10/2005;;;;
3463247;3463247;3463247;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/07/2005;;;;
3463431;3463431;3463431;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/04/2009;;;;
3463495;3463495;3463495;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/10/2006;;;;
3463572;3463572;3463572;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/10/2006;;;;
3463857;3463857;3463857;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/11/2007;;;;
3463955;3463955;3463955;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/04/2004;;;;
3464151;3464151;3464151;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/01/2006;;;;
3464191;3464191;3464191;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/08/2007;;;;
