do_code;do_ref;do_reftier;do_r1_code;do_r2_code;do_r3_code;do_r4_code;do_type;do_indice;do_date;do_classe;do_url1;do_url2;do_comment;do_creadat;do_majdate;do_majsrc;do_abddate;do_abdsrc
79;34211;9SI-3-T92-050-RT-97;;;;;200;;;;;;;;;;;
80;34273;9SI-3-T93-006-RT-03;;;;;1000;;;;;;;;;;;
81;34274;9SI-3-T93-006-ZO-31;;;;;200;;;;;;;;;;;
82;34275;9SI-3-T92-050-RT-60;;;;;200;;;;;;;;;;;
83;34276;9SI-3-T92-050-RT-37;;;;;200;;;;;;;;;;;
84;34277;9SI-3-T92-050-ZO-25;;;;;200;;;;;;;;;;;
85;34171;LDKC_9SI-3-T93-066-RT-08b;;;;;200;;;;;;;;;;;
86;34212;9SI-3-T92-050-RT-14;;;;;200;;;;;;;;;;;
87;34213;9SI-3-T92-050-RT-12;;;;;200;;;;;;;;;;;
88;34214;9SI-3-T92-050-RT-11;;;;;500;;;;;;;;;;;
89;34215;9SI-3-T93-055-RT-36;;;;;200;;;;;;;;;;;
90;34216;9SI-3-T93-055-RT-34;;;;;200;;;;;;;;;;;
91;34294;9SI-3-T92-050-RT-10;;;;;500;;;;;;;;;;;
92;34295;9SI-3-T92-050-ZO-54;;;;;200;;;;;;;;;;;
93;34296;9SI-3-T93-055-RT-12;;;;;200;;;;;;;;;;;
94;34297;9SI-3-T93-055-RT-11;;;;;200;;;;;;;;;;;
95;34298;9SI-3-T93-055-RT-19;;;;;200;;;;;;;;;;;
96;34172;LDKC_9SI-3-T93-066-RT-08a;;;;;200;;;;;;;;;;;
97;34173;LDKC_9SI-3-T93-066-RT-43;;;;;200;;;;;;;;;;;
98;34174;LDKC_9SI-3-T93-066-RT-37;;;;;200;;;;;;;;;;;
99;34175;LDKC_9SI-3-T93-066-RT-35;;;;;200;;;;;;;;;;;
100;34176;LDKC_9SI-3-T93-066-RT-07;;;;;200;;;;;;;;;;;
101;34217;9SI-3-T93-055-RT-15;;;;;200;;;;;;;;;;;
102;34218;9SI-3-T93-048-RT-47;;;;;200;;;;;;;;;;;
103;34219;9SI-3-T93-048-RT-91;;;;;200;;;;;;;;;;;
104;34220;9SI-3-T93-064-ZO-25;;;;;200;;;;;;;;;;;
105;34221;9SI-3-T93-064-RT-82;;;;;200;;;;;;;;;;;
106;34299;9SI-3-T93-055-RT-18;;;;;200;;;;;;;;;;;
107;34300;9SI-3-T93-055-RT-17;;;;;200;;;;;;;;;;;
108;34301;NOOS_9SI-3-T92-060-RT-53;;;;;500;;;;;;;;;;;
109;34302;LDKC_9SI-3-T92-051-RT-55;;;;;200;;;;;;;;;;;
110;34303;LDKC_9SI-3-T92-051-RT-56;;;;;200;;;;;;;;;;;
111;34177;LDKC_9SI-3-T93-066-RT-05;;;;;200;;;;;;;;;;;
112;34178;LDKC_9SI-3-T93-066-RT-01;;;;;200;;;;;;;;;;;
113;34179;LDKC_9SI-3-T93-066-RT-09;;;;;200;;;;;;;;;;;
114;34180;9SI-3-T93-027-RT-57;;;;;200;;;;;;;;;;;
115;34181;9SI-3-T93-027-RT-63;;;;;200;;;;;;;;;;;
116;34222;9SI-3-T93-064-RT-80;;;;;200;;;;;;;;;;;
117;34223;9SI-3-T93-064-RT-40;;;;;200;;;;;;;;;;;
118;34224;9SI-3-T93-064-ZO-34;;;;;200;;;;;;;;;;;
119;34225;LDKC_9SI-3-T93-066-RT-25;;;;;200;;;;;;;;;;;
120;34226;LDKC_9SI-3-T93-066-RT-29;;;;;200;;;;;;;;;;;
121;34284;9SI-3-T93-064-RT-37;;;;;200;;;;;;;;;;;
122;34285;9SI-3-T93-064-RT-35;;;;;200;;;;;;;;;;;
123;34286;9SI-3-T93-066-RT-37;;;;;200;;;;;;;;;;;
124;34287;9SI-3-T93-066-RT-47;;;;;200;;;;;;;;;;;
125;34288;9SI-3-T93-066-RT-45;;;;;200;;;;;;;;;;;
126;34182;9SI-3-T93-027-RT-25;;;;;200;;;;;;;;;;;
127;34183;9SI-3-T93-027-RT-61;;;;;200;;;;;;;;;;;
128;34184;9SI-3-T93-027-ZO-02;;;;;200;;;;;;;;;;;
129;34185;9SI-3-T93-066-RT-64;;;;;200;;;;;;;;;;;
130;34186;9SI-3-T93-066-ZO-34;;;;;200;;;;;;;;;;;
131;34227;LDKC_9SI-3-T93-066-RT-31;;;;;200;;;;;;;;;;;
132;34228;LDKC_9SI-3-T93-066-RT-33;;;;;200;;;;;;;;;;;
133;34229;9SI-3-T93-066-RT-65;;;;;200;;;;;;;;;;;
134;34230;9SI-3-T93-059-RT-36;;;;;200;;;;;;;;;;;
135;34231;9SI-3-T93-059-RT-50;;;;;200;;;;;;;;;;;
136;34304;LDKC_9SI-3-T92-051-RT-57;;;;;200;;;;;;;;;;;
137;34305;LDKC_9SI-3-T92-051-RT-58;;;;;200;;;;;;;;;;;
138;34306;9SI-3-T93-066-RT-169;;;;;200;;;;;;;;;;;
139;34307;9SI-3-T93-066-RT-32;;;;;200;;;;;;;;;;;
140;34308;9SI-3-T93-064-ZO-35;;;;;200;;;;;;;;;;;
141;34187;9SI-3-T93-066-RT-178;;;;;200;;;;;;;;;;;
142;34188;9SI-3-T93-066-RT-182;;;;;200;;;;;;;;;;;
143;34189;9SI-3-T93-066-RT-180;;;;;200;;;;;;;;;;;
144;34190;9SI-3-T93-006-ZO-30;;;;;200;;;;;;;;;;;
145;34191;9SI-3-T93-006-ZO-28;;;;;200;;;;;;;;;;;
146;34232;9SI-3-T93-059-RT-32;;;;;200;;;;;;;;;;;
147;34233;9SI-3-T93-059-ZO-40;;;;;200;;;;;;;;;;;
148;34234;9SI-3-T93-059-ZO-38;;;;;200;;;;;;;;;;;
149;34235;9SI-3-T93-048-RT-85;;;;;200;;;;;;;;;;;
150;34236;9SI-3-T93-048-RT-83;;;;;200;;;;;;;;;;;
151;34278;9SI-3-T92-050-RT-40;;;;;200;;;;;;;;;;;
152;34280;9SI-3-T92-050-RT-30;;;;;200;;;;;;;;;;;
153;34281;9SI-3-T93-064-ZO-26;;;;;200;;;;;;;;;;;
154;34282;9SI-3-T93-064-RT-30;;;;;200;;;;;;;;;;;
155;34283;9SI-3-T93-064-RT-39;;;;;200;;;;;;;;;;;
156;34192;9SI-3-T93-006-RT-04;;;;;200;;;;;;;;;;;
157;34193;9SI-3-T93-006-RT-02;;;;;200;;;;;;;;;;;
158;34194;9SI-3-T93-006-RT-01;;;;;1000;;;;;;;;;;;
159;34195;LDKC_9SI-3-T92-050-RT-04;;;;;200;;;;;;;;;;;
160;34196;LDKC_9SI-3-T92-050-RT-05;;;;;200;;;;;;;;;;;
161;34237;9SI-3-T93-045-RT-51;;;;;200;;;;;;;;;;;
162;34238;9SI-3-T93-045-ZO-01;;;;;200;;;;;;;;;;;
163;34239;9SI-3-T93-001-RT-37;;;;;200;;;;;;;;;;;
164;34240;9SI-3-T93-064-ZO-32;;;;;200;;;;;;;;;;;
165;34241;9SI-3-T93-064-RT-52;;;;;200;;;;;;;;;;;
166;34289;9SI-3-T93-066-RT-43;;;;;200;;;;;;;;;;;
167;34290;9SI-3-T93-066-RT-25;;;;;200;;;;;;;;;;;
168;34291;9SI-3-T93-006-ZO-25;;;;;200;;;;;;;;;;;
169;34292;NOOS_9SI-3-T93-001-RT-09;;;;;500;;;;;;;;;;;
170;34293;9SI-3-T92-050-RT-09;;;;;500;;;;;;;;;;;
171;34242;9SI-3-T93-064-RT-50;;;;;200;;;;;;;;;;;
172;34243;9SI-3-T93-064-RT-08;;;;;200;;;;;;;;;;;
173;34244;9SI-3-T93-064-RT-04;;;;;200;;;;;;;;;;;
174;34245;9SI-3-T93-066-RT-63;;;;;200;;;;;;;;;;;
175;34246;9SI-3-T93-066-ZO-55;;;;;200;;;;;;;;;;;
176;34309;9SI-3-T93-064-RT-09;;;;;200;;;;;;;;;;;
177;34310;9SI-3-T93-064-RT-07;;;;;200;;;;;;;;;;;
178;34311;9SI-3-T92-050-RT-55;;;;;200;;;;;;;;;;;
179;34312;9SI-3-T92-050-ZO-01;;;;;200;;;;;;;;;;;
180;34313;9SI-3-T93-059-ZO-28;;;;;200;;;;;;;;;;;
181;34267;9SI-3-T93-066-RT-29;;;;;200;;;;;;;;;;;
