do_code;do_ref;do_reftier;do_r1_code;do_r2_code;do_r3_code;do_r4_code;do_type;do_indice;do_date;do_classe;do_url1;do_url2;do_comment;do_creadat;do_majdate;do_majsrc;do_abddate;do_abdsrc
342;34937;9SI-3-T93-071-RT-30;;;;;200;;;;;;;;;;;
343;34938;9SI-3-T93-057-RT-27;;;;;500;;;;;;;;;;;
344;34939;9SI-3-T93-057-RT-25;;;;;1000;;;;;;;;;;;
345;34771;9SI-3-T94-081-ZO-10;;;;;200;;;;;;;;;;;
346;34772;9SI-3-T94-081-ZO-06;;;;;200;;;;;;;;;;;
347;34773;NUME_9SI-3-T94-042-RT-05;;;;;500;;;;;;;;;;;
348;34774;9SI-3-T94-042-RT-50;;;;;200;;;;;;;;;;;
349;34775;9SI-3-T94-042-RT-28;;;;;200;;;;;;;;;;;
350;34811;9SI-3-T91-377-RT-62;;;;;200;;;;;;;;;;;
351;34812;9SI-3-T91-377-RT-61;;;;;200;;;;;;;;;;;
352;34813;9SI-3-T91-377-RT-59;;;;;200;;;;;;;;;;;
353;34814;9SI-3-T91-377-RT-60;;;;;200;;;;;;;;;;;
354;34815;9SI-3-T92-050-RT-77;;;;;200;;;;;;;;;;;
355;34858;9SI-3-T92-078-RT-50;;;;;200;;;;;;;;;;;
356;34859;9SI-3-T92-040-ZO-57;;;;;200;;;;;;;;;;;
357;34860;9SI-3-T92-040-RT-56;;;;;500;;;;;;;;;;;
358;34861;9SI-3-T92-040-ZO-58;;;;;200;;;;;;;;;;;
359;34862;9SI-3-T92-040-RT-57;;;;;500;;;;;;;;;;;
360;34940;9SI-3-T93-057-ZO-25;;;;;200;;;;;;;;;;;
361;34941;9SI-3-T92-050-RT-31;;;;;200;;;;;;;;;;;
362;34942;9SI-3-T92-050-RT-28;;;;;200;;;;;;;;;;;
363;34943;9SI-3-T92-040-RT-60;;;;;500;;;;;;;;;;;
364;34944;9SI-3-T92-040-RT-59;;;;;500;;;;;;;;;;;
365;34776;9SI-3-T94-042-ZO-04;;;;;200;;;;;;;;;;;
366;34777;9SI-3-T94-042-ZO-02;;;;;200;;;;;;;;;;;
367;34778;9SI-3-T94-022-RT-57;;;;;200;;;;;;;;;;;
368;34779;9SI-3-T94-022-RT-55;;;;;200;;;;;;;;;;;
369;34780;9SI-3-T94-022-RT-53;;;;;200;;;;;;;;;;;
370;34816;9SI-3-T92-050-RT-76;;;;;200;;;;;;;;;;;
371;34817;9SI-3-T92-050-RT-74;;;;;200;;;;;;;;;;;
372;34818;9SI-3-T93-046-ZO-25;;;;;200;;;;;;;;;;;
373;34819;SITR_9SI-3-T92-072-RT-50;;;;;500;;;;;;;;;;;
374;34820;9SI-3-T92-072-RT-52;;;;;200;;;;;;;;;;;
375;34863;9SI-3-T92-040-RT-61;;;;;500;;;;;;;;;;;
376;34864;9SI-3-T92-025-RT-65;;;;;500;;;;;;;;;;;
377;34865;LDKC_9SI-3-T92-012-RT-60;;;;;200;;;;;;;;;;;
378;34866;LDKC_9SI-3-T92-012-RT-59;;;;;200;;;;;;;;;;;
379;34867;LDKC_9SI-3-T92-012-RT-61;;;;;200;;;;;;;;;;;
380;34924;9SI-3-T92-050-RT-32;;;;;200;;;;;;;;;;;
381;34925;LEV3_9SI-3-T92-040-RT-09;;;;;200;;;;;;;;;;;
382;34926;LEV3_9SI-3-T92-040-RT-08;;;;;200;;;;;;;;;;;
383;34927;9SI-3-T92-025-ZO-50;;;;;200;;;;;;;;;;;
384;34928;9SI-3-T92-025-RT-79;;;;;500;;;;;;;;;;;
385;34781;9SI-3-T94-022-ZO-07;;;;;200;;;;;;;;;;;
386;34782;9SI-3-T94-022-ZO-03;;;;;200;;;;;;;;;;;
387;34783;9SI-3-T94-011-RT-40;;;;;200;;;;;;;;;;;
388;34784;9SI-3-T94-011-RT-36;;;;;200;;;;;;;;;;;
389;34785;9SI-3-T94-011-RT-31;;;;;200;;;;;;;;;;;
390;34821;9SI-3-T92-072-RT-51;;;;;200;;;;;;;;;;;
391;34822;9SI-3-T92-071-RT-57;;;;;500;;;;;;;;;;;
392;34823;9SI-3-T92-044-RT-27;;;;;200;;;;;;;;;;;
393;34824;9SI-3-T92-044-RT-25;;;;;200;;;;;;;;;;;
394;34825;9SI-3-T92-044-RT-51;;;;;500;;;;;;;;;;;
395;34868;9SI-3-T92-012-RT-79;;;;;500;;;;;;;;;;;
396;34869;9SI-3-T92-040-ZO-03;;;;;200;;;;;;;;;;;
397;34870;9SI-3-T92-040-ZO-02;;;;;200;;;;;;;;;;;
398;34871;9SI-3-T92-040-ZO-32;;;;;200;;;;;;;;;;;
399;34872;LDKC_9SI-3-T92-023-RT-70;;;;;200;;;;;;;;;;;
400;34945;9SI-3-T92-040-RT-72;;;;;500;;;;;;;;;;;
401;34946;9SI-3-T92-025-RT-84;;;;;200;;;;;;;;;;;
402;34947;9SI-3-T92-025-RT-83;;;;;200;;;;;;;;;;;
403;34948;9SI-3-T92-025-RT-81;;;;;200;;;;;;;;;;;
404;34949;9SI-3-T92-012-RT-76;;;;;500;;;;;;;;;;;
405;34786;9SI-3-T94-011-RT-39;;;;;200;;;;;;;;;;;
406;34787;9SI-3-T94-011-RT-35;;;;;200;;;;;;;;;;;
407;34788;9SI-3-T94-081-IM-51;;;;;200;;;;;;;;;;;
408;34789;9SI-3-T94-080-ZO-26;;;;;200;;;;;;;;;;;
409;34790;9SI-3-T94-080-ZO-06;;;;;200;;;;;;;;;;;
410;34826;9SI-3-T92-044-RT-53;;;;;500;;;;;;;;;;;
411;34827;9SI-3-T92-044-RT-50;;;;;500;;;;;;;;;;;
412;34828;9SI-3-T75-112-RT-80;;;;;200;;;;;;;;;;;
413;34829;9SI-3-T95-612-RT-25;;;;;200;;;;;;;;;;;
414;34830;9SI-3-T92-050-RT-21;;;;;500;;;;;;;;;;;
415;34873;LDKC_9SI-3-T92-023-RT-58;;;;;200;;;;;;;;;;;
416;34874;SITR_9SI-3-T92-076-RT-53;;;;;500;;;;;;;;;;;
417;34875;SITR_9SI-3-T92-076-RT-54;;;;;500;;;;;;;;;;;
418;34876;9SI-3-T92-076-ZO-51;;;;;200;;;;;;;;;;;
419;34877;9SI-3-T92-076-RT-53;;;;;200;;;;;;;;;;;
420;34919;9SI-3-T77-258-RT-60;;;;;200;;;;;;;;;;;
421;34920;9SI-3-T77-258-RT-56;;;;;200;;;;;;;;;;;
422;34921;9SI-3-T92-050-RT-58;;;;;500;;;;;;;;;;;
423;34922;9SI-3-T92-050-RT-62;;;;;200;;;;;;;;;;;
424;34923;9SI-3-T92-050-RT-54;;;;;200;;;;;;;;;;;
425;34636;9SI-3-T94-033-RT-53;;;;;200;;;;;;;;;;;
426;34637;9SI-3-T94-033-RT-54;;;;;200;;;;;;;;;;;
427;34638;9SI-3-T94-017-ZO-11;;;;;200;;;;;;;;;;;
428;34639;9SI-3-T94-017-ZO-01;;;;;200;;;;;;;;;;;
429;34640;9SI-3-T94-017-ZO-03;;;;;200;;;;;;;;;;;
430;34831;9SI-3-T92-050-RT-22;;;;;500;;;;;;;;;;;
431;34832;9SI-3-T92-050-RT-04;;;;;200;;;;;;;;;;;
432;34833;9SI-3-T92-050-RT-01;;;;;200;;;;;;;;;;;
433;34835;9SI-3-T93-072-ZO-31;;;;;200;;;;;;;;;;;
434;34836;9SI-3-T93-072-RT-33;;;;;200;;;;;;;;;;;
435;34878;9SI-3-T92-007-RT-66;;;;;200;;;;;;;;;;;
436;34879;LDKC_9SI-3-T92-024-RT-51;;;;;200;;;;;;;;;;;
437;34880;LDKC_9SI-3-T92-024-RT-53;;;;;200;;;;;;;;;;;
438;34881;LDKC_9SI-3-T92-024-RT-54;;;;;200;;;;;;;;;;;
439;34882;LDKC_9SI-3-T92-024-RT-55;;;;;200;;;;;;;;;;;
440;34929;9SI-3-T92-025-RT-85;;;;;200;;;;;;;;;;;
441;34931;9SI-3-T92-050-RT-96;;;;;200;;;;;;;;;;;
442;34932;9SI-3-T92-050-RT-35;;;;;200;;;;;;;;;;;
443;34933;9SI-3-T92-050-RT-36;;;;;200;;;;;;;;;;;
444;34934;9SI-3-T92-050-RT-91;;;;;200;;;;;;;;;;;
445;34641;9SI-3-T94-017-ZO-13;;;;;200;;;;;;;;;;;
446;34642;9SI-3-T94-017-ZO-27;;;;;200;;;;;;;;;;;
447;34644;9SI-3-T93-070-RT-38;;;;;200;;;;;;;;;;;
448;34645;9SI-3-T93-070-ZO-40;;;;;200;;;;;;;;;;;
449;34646;9SI-3-T93-070-RT-34;;;;;1000;;;;;;;;;;;
450;34672;9SI-3-T94-058-RT-26;;;;;200;;;;;;;;;;;
451;34673;9SI-3-T94-058-ZO-02;;;;;200;;;;;;;;;;;
452;34674;9SI-3-T94-058-ZO-04;;;;;200;;;;;;;;;;;
453;34675;NUME_9SI-3-T94-028-RT-03;;;;;500;;;;;;;;;;;
454;34676;NUME_9SI-3-T94-028-RT-01;;;;;500;;;;;;;;;;;
455;34883;LDKC_9SI-3-T92-024-RT-56;;;;;200;;;;;;;;;;;
456;34884;9SI-3-T92-012-RT-78;;;;;500;;;;;;;;;;;
457;34885;9SI-3-T95-257-ZO-01;;;;;200;;;;;;;;;;;
458;34886;LDKC_9SI-3-T95-257-RT-01;;;;;200;;;;;;;;;;;
459;34887;LEV3_9SI-3-T95-257-RT-02;;;;;1000;;;;;;;;;;;
460;34950;9SI-3-T92-012-RT-69;;;;;200;;;;;;;;;;;
461;34951;9SI-3-T92-036-ZO-03;;;;;200;;;;;;;;;;;
462;34952;9SI-3-T92-036-ZO-02;;;;;200;;;;;;;;;;;
463;34953;9SI-3-T92-036-ZO-01;;;;;200;;;;;;;;;;;
464;34954;9SI-3-T92-036-RT-05;;;;;200;;;;;;;;;;;
465;34647;9SI-3-T93-070-RT-36;;;;;1000;;;;;;;;;;;
466;34648;9SI-3-T93-070-ZO-02;;;;;200;;;;;;;;;;;
467;34649;9SI-3-T94-065-ZO-25;;;;;200;;;;;;;;;;;
468;34650;9SI-3-T94-065-ZO-55;;;;;1000;;;;;;;;;;;
469;34651;9SI-3-T94-065-RT-55;;;;;200;;;;;;;;;;;
470;34677;NUME_9SI-3-T94-028-RT-06;;;;;500;;;;;;;;;;;
471;34678;NUME_9SI-3-T94-028-RT-16;;;;;500;;;;;;;;;;;
472;34679;NUME_9SI-3-T94-028-RT-10;;;;;500;;;;;;;;;;;
473;34680;NUME_9SI-3-T94-016-RT-04;;;;;500;;;;;;;;;;;
474;34681;NUME_9SI-3-T94-016-RT-02;;;;;500;;;;;;;;;;;
475;34704;9SI-3-T94-015-ZO-08;;;;;200;;;;;;;;;;;
476;34705;9SI-3-T94-015-ZO-06;;;;;200;;;;;;;;;;;
477;34706;9SI-3-T93-070-RT-33;;;;;1000;;;;;;;;;;;
478;34707;9SI-3-T93-070-RT-37;;;;;1000;;;;;;;;;;;
479;34708;9SI-3-T93-070-RT-03;;;;;200;;;;;;;;;;;
480;34908;LEV3_9SI-3-T92-040-RT-10;;;;;200;;;;;;;;;;;
481;34909;LDKC_9SI-3-T95-539-RT-01;;;;;200;;;;;;;;;;;
482;34910;9SI-3-T95-539-RT-51;;;;;200;;;;;;;;;;;
483;34911;9SI-3-T95-539-RT-52;;;;;200;;;;;;;;;;;
484;34912;LEV3_9SI-3-T95-500-RT-01;;;;;1000;;;;;;;;;;;
485;34652;9SI-3-T94-065-ZO-51;;;;;200;;;;;;;;;;;
486;34653;NUME_9SI-3-T94-058-RT-01;;;;;500;;;;;;;;;;;
487;34654;NUME_9SI-3-T94-028-RT-05;;;;;500;;;;;;;;;;;
488;34655;NUME_9SI-3-T94-028-RT-17;;;;;500;;;;;;;;;;;
489;34656;NUME_9SI-3-T94-028-RT-13;;;;;500;;;;;;;;;;;
490;34682;NUME_9SI-3-T94-016-RT-01;;;;;500;;;;;;;;;;;
491;34683;9SI-3-T94-016-RT-57;;;;;200;;;;;;;;;;;
492;34684;9SI-3-T94-016-RT-52;;;;;200;;;;;;;;;;;
493;34685;9SI-3-T93-070-RT-28;;;;;200;;;;;;;;;;;
494;34686;9SI-3-T93-070-ZO-01;;;;;200;;;;;;;;;;;
495;34709;9SI-3-T93-070-ZO-35;;;;;200;;;;;;;;;;;
496;34711;9SI-3-T93-070-ZO-37;;;;;200;;;;;;;;;;;
497;34712;9SI-3-T94-043-ZO-03;;;;;200;;;;;;;;;;;
498;34713;9SI-3-T94-043-ZO-01;;;;;200;;;;;;;;;;;
499;34714;9SI-3-T94-043-ZO-52;;;;;200;;;;;;;;;;;
500;34731;9SI-3-T93-070-RT-27;;;;;200;;;;;;;;;;;
501;34732;9SI-3-T93-066-RT-66;;;;;200;;;;;;;;;;;
502;34733;NUME_9SI-3-T94-043-RT-03;;;;;500;;;;;;;;;;;
503;34734;NUME_9SI-3-T94-043-RT-05;;;;;500;;;;;;;;;;;
504;34735;NUME_9SI-3-T94-043-RT-07;;;;;500;;;;;;;;;;;
505;34657;NUME_9SI-3-T94-028-RT-11;;;;;500;;;;;;;;;;;
506;34658;NUME_9SI-3-T94-028-RT-09;;;;;500;;;;;;;;;;;
507;34659;9SI-3-T94-017-RT-27;;;;;200;;;;;;;;;;;
508;34660;NUME_9SI-3-T94-016-RT-51;;;;;500;;;;;;;;;;;
509;34661;NUME_9SI-3-T94-016-RT-53;;;;;500;;;;;;;;;;;
510;34687;9SI-3-T93-070-ZO-03;;;;;200;;;;;;;;;;;
511;34689;9SI-3-T93-070-RT-45;;;;;200;;;;;;;;;;;
512;34690;9SI-3-T93-070-RT-43;;;;;200;;;;;;;;;;;
513;34691;9SI-3-T94-058-ZO-06;;;;;200;;;;;;;;;;;
514;34692;9SI-3-T94-058-ZO-05;;;;;200;;;;;;;;;;;
515;34715;9SI-3-T94-043-RT-56;;;;;200;;;;;;;;;;;
516;34716;9SI-3-T94-043-ZO-04;;;;;200;;;;;;;;;;;
517;34717;9SI-3-T94-028-ZO-27;;;;;200;;;;;;;;;;;
518;34718;9SI-3-T94-028-RT-28;;;;;200;;;;;;;;;;;
519;34719;9SI-3-T94-028-ZO-26;;;;;200;;;;;;;;;;;
520;34736;LEV3_9SI-3-T94-043-RT-02;;;;;1000;;;;;;;;;;;
521;34737;LEV3_9SI-3-T94-043-RT-01;;;;;1000;;;;;;;;;;;
522;34738;9SI-3-T94-028-RT-45;;;;;200;;;;;;;;;;;
523;34739;9SI-3-T94-028-RT-31;;;;;200;;;;;;;;;;;
524;34740;9SI-3-T94-028-RT-43;;;;;200;;;;;;;;;;;
525;34662;NUME_9SI-3-T94-016-RT-54;;;;;500;;;;;;;;;;;
526;34663;NUME_9SI-3-T94-016-RT-52;;;;;500;;;;;;;;;;;
527;34664;9SI-3-T93-070-ZO-28;;;;;200;;;;;;;;;;;
528;34665;9SI-3-T93-070-ZO-36;;;;;200;;;;;;;;;;;
529;34666;9SI-3-T93-070-ZO-34;;;;;200;;;;;;;;;;;
530;34693;9SI-3-T94-043-RT-55;;;;;200;;;;;;;;;;;
531;34694;9SI-3-T94-043-RT-53;;;;;200;;;;;;;;;;;
532;34695;9SI-3-T94-043-RT-25;;;;;200;;;;;;;;;;;
533;34696;NUME_9SI-3-T94-028-RT-08;;;;;500;;;;;;;;;;;
534;34697;NUME_9SI-3-T94-028-RT-02;;;;;500;;;;;;;;;;;
535;34720;9SI-3-T94-028-RT-26;;;;;200;;;;;;;;;;;
536;34721;9SI-3-T94-028-RT-39;;;;;200;;;;;;;;;;;
537;34722;9SI-3-T94-015-RT-50;;;;;200;;;;;;;;;;;
538;34723;9SI-3-T94-015-RT-54;;;;;200;;;;;;;;;;;
539;34724;9SI-3-T94-015-RT-52;;;;;200;;;;;;;;;;;
540;34359;LEV3_9SI-3-T92-050-RT-07;;;;;1000;;;;;;;;;;;
541;34360;LEV3_9SI-3-T92-050-RT-11;;;;;1000;;;;;;;;;;;
542;34361;9SI-3-T93-048-RT-45;;;;;200;;;;;;;;;;;
543;34362;9SI-3-T93-048-RT-55;;;;;500;;;;;;;;;;;
544;34363;9SI-3-T93-048-RT-01;;;;;200;;;;;;;;;;;
545;34400;9SI-3-T93-027-RT-50;;;;;200;;;;;;;;;;;
546;34401;9SI-3-T93-027-RT-56;;;;;200;;;;;;;;;;;
547;34402;LDKC_9SI-3-T92-051-RT-53;;;;;200;;;;;;;;;;;
548;34403;LDKC_9SI-3-T92-051-RT-54;;;;;200;;;;;;;;;;;
549;34404;9SI-3-T93-059-ZO-33;;;;;200;;;;;;;;;;;
550;34435;9SI-3-T93-048-RT-53;;;;;200;;;;;;;;;;;
551;34436;9SI-3-T93-048-RT-57;;;;;500;;;;;;;;;;;
552;34437;9SI-3-T93-001-RT-50;;;;;200;;;;;;;;;;;
553;34438;9SI-3-T93-001-RT-02;;;;;200;;;;;;;;;;;
554;34439;9SI-3-T93-001-RT-34;;;;;200;;;;;;;;;;;
555;34466;9SI-3-T93-066-RT-104;;;;;200;;;;;;;;;;;
556;34467;9SI-3-T93-066-ZO-52;;;;;200;;;;;;;;;;;
557;34468;LDKC_9SI-3-T93-066-RT-32;;;;;200;;;;;;;;;;;
558;34469;LDKC_9SI-3-T93-066-RT-44;;;;;200;;;;;;;;;;;
559;34470;LDKC_9SI-3-T93-066-RT-38;;;;;200;;;;;;;;;;;
560;34471;LDKC_9SI-3-T93-066-RT-36;;;;;200;;;;;;;;;;;
561;34472;LDKC_9SI-3-T93-066-RT-42;;;;;200;;;;;;;;;;;
562;34473;9SI-3-T93-001-RT-59;;;;;200;;;;;;;;;;;
563;34474;9SI-3-T93-001-RT-39;;;;;200;;;;;;;;;;;
564;34475;LDKC_9SI-3-T92-050-RT-06;;;;;200;;;;;;;;;;;
565;34476;LDKC_9SI-3-T92-050-RT-02;;;;;200;;;;;;;;;;;
566;34477;LDKC_9SI-3-T92-050-RT-03;;;;;200;;;;;;;;;;;
567;34478;9SI-3-T93-055-ZO-12;;;;;200;;;;;;;;;;;
568;34479;9SI-3-T93-055-ZO-02;;;;;200;;;;;;;;;;;
569;34480;9SI-3-T93-055-ZO-08;;;;;200;;;;;;;;;;;
570;34481;9SI-3-T93-055-ZO-31;;;;;200;;;;;;;;;;;
571;34482;9SI-3-T93-053-RT-60;;;;;200;;;;;;;;;;;
572;34483;9SI-3-T94-011-RT-50;;;;;200;;;;;;;;;;;
573;34484;9SI-3-T94-011-RT-52;;;;;200;;;;;;;;;;;
574;34485;9SI-3-T94-011-RT-54;;;;;200;;;;;;;;;;;
575;34571;LDKC_9SI-3-T94-069-RT-02;;;;;200;;;;;;;;;;;
576;34572;NUME_9SI-3-T94-069-RT-03;;;;;500;;;;;;;;;;;
577;34573;9SI-3-T94-041-RT-66;;;;;500;;;;;;;;;;;
578;34574;9SI-3-T94-041-RT-60;;;;;200;;;;;;;;;;;
579;34575;9SI-3-T94-041-RT-56;;;;;200;;;;;;;;;;;
580;34596;9SI-3-T94-033-ZO-11;;;;;200;;;;;;;;;;;
581;34597;9SI-3-T94-033-ZO-03;;;;;200;;;;;;;;;;;
582;34598;LEV3_9SI-3-T94-017-RT-03;;;;;1000;;;;;;;;;;;
583;34599;9SI-3-T94-017-RT-50;;;;;200;;;;;;;;;;;
584;34600;9SI-3-T94-017-ZO-04;;;;;200;;;;;;;;;;;
585;34486;9SI-3-T94-011-RT-58;;;;;200;;;;;;;;;;;
586;34487;9SI-3-T94-011-ZO-26;;;;;200;;;;;;;;;;;
587;34488;9SI-3-T94-080-RT-05;;;;;200;;;;;;;;;;;
588;34489;LEV3_9SI-3-T94-041-RT-06;;;;;1000;;;;;;;;;;;
589;34490;LEV3_9SI-3-T94-041-RT-03;;;;;1000;;;;;;;;;;;
590;34526;9SI-3-T94-003-RT-26;;;;;200;;;;;;;;;;;
591;34527;9SI-3-T94-003-RT-60;;;;;200;;;;;;;;;;;
592;34528;9SI-3-T94-080-RT-53;;;;;200;;;;;;;;;;;
593;34529;9SI-3-T94-080-RT-52;;;;;200;;;;;;;;;;;
594;34530;9SI-3-T94-080-ZO-25;;;;;200;;;;;;;;;;;
595;34601;9SI-3-T94-017-ZO-10;;;;;200;;;;;;;;;;;
596;34602;9SI-3-T94-017-ZO-02;;;;;200;;;;;;;;;;;
597;34603;LDKC-9SI-3-T93-070-RT-08;;;;;200;;;;;;;;;;;
598;34604;LDKC-9SI-3-T93-070-RT-04;;;;;200;;;;;;;;;;;
599;34605;LDKC-9SI-3-T93-070-RT-05;;;;;200;;;;;;;;;;;
600;34606;LDKC-9SI-3-T93-070-RT-03;;;;;200;;;;;;;;;;;
601;34607;9SI-3-T93-070-RT-42;;;;;200;;;;;;;;;;;
602;34608;9SI-3-T94-068-RT-53;;;;;200;;;;;;;;;;;
603;34609;9SI-3-T94-068-RT-50;;;;;200;;;;;;;;;;;
604;34610;9SI-3-T94-068-RT-54;;;;;200;;;;;;;;;;;
605;34491;LEV3_9SI-3-T94-041-RT-01;;;;;1000;;;;;;;;;;;
606;34492;9SI-3-T94-041-RT-52;;;;;200;;;;;;;;;;;
607;34493;LEV3_9SI-3-T94-041-RT-04;;;;;1000;;;;;;;;;;;
608;34494;9SI-3-T94-041-ZO-08;;;;;200;;;;;;;;;;;
609;34495;9SI-3-T94-041-ZO-06;;;;;200;;;;;;;;;;;
610;34531;9SI-3-T94-080-RT-81;;;;;200;;;;;;;;;;;
611;34532;9SI-3-T94-080-RT-80;;;;;200;;;;;;;;;;;
612;34533;SMAK_9SI-3-T94-021-RT-58;;;;;200;;;;;;;;;;;
613;34534;9SI-3-T94-041-RT-61;;;;;200;;;;;;;;;;;
614;34535;9SI-3-T94-041-RT-55;;;;;200;;;;;;;;;;;
615;34576;9SI-3-T94-033-RT-27;;;;;200;;;;;;;;;;;
616;34577;9SI-3-T94-033-RT-51;;;;;200;;;;;;;;;;;
617;34578;9SI-3-T94-018-RT-57;;;;;500;;;;;;;;;;;
618;34579;9SI-3-T94-018-RT-51;;;;;200;;;;;;;;;;;
619;34580;9SI-3-T94-018-ZO-01;;;;;200;;;;;;;;;;;
620;34611;9SI-3-T94-068-RT-55;;;;;200;;;;;;;;;;;
621;34612;9SI-3-T94-068-RT-52;;;;;200;;;;;;;;;;;
622;34613;9SI-3-T94-033-ZO-01;;;;;200;;;;;;;;;;;
623;34614;9SI-3-T94-033-ZO-07;;;;;200;;;;;;;;;;;
624;34615;9SI-3-T94-033-RT-50;;;;;200;;;;;;;;;;;
625;34496;9SI-3-T94-041-ZO-04;;;;;200;;;;;;;;;;;
626;34497;9SI-3-T94-041-ZO-14;;;;;200;;;;;;;;;;;
627;34498;9SI-3-T94-022-RT-60;;;;;500;;;;;;;;;;;
628;34499;9SI-3-T94-022-RT-58;;;;;200;;;;;;;;;;;
629;34500;SMAK_9SI-3-T94-021-RT-55;;;;;200;;;;;;;;;;;
630;34536;9SI-3-T94-041-RT-54;;;;;200;;;;;;;;;;;
631;34537;9SI-3-T94-041-RT-51;;;;;200;;;;;;;;;;;
632;34538;NUME_9SI-3-T94-018-RT-01;;;;;500;;;;;;;;;;;
633;34539;9SI-3-T94-003-RT-54;;;;;200;;;;;;;;;;;
634;34540;9SI-3-T94-003-RT-52;;;;;200;;;;;;;;;;;
635;34581;9SI-3-T94-018-RT-25;;;;;500;;;;;;;;;;;
636;34582;LEV3_9SI-3-T94-017-RT-02;;;;;1000;;;;;;;;;;;
637;34583;9SI-3-T93-066-RT-161;;;;;200;;;;;;;;;;;
638;34584;9SI-3-T93-066-RT-157;;;;;200;;;;;;;;;;;
639;34585;9SI-3-T93-066-RT-159;;;;;200;;;;;;;;;;;
640;34616;9SI-3-T94-033-ZO-08;;;;;200;;;;;;;;;;;
641;34617;9SI-3-T94-033-ZO-12;;;;;200;;;;;;;;;;;
642;34618;9SI-3-T94-017-ZO-12;;;;;200;;;;;;;;;;;
643;34619;9SI-3-T94-017-ZO-06;;;;;200;;;;;;;;;;;
644;34620;9SI-3-T94-017-ZO-26;;;;;200;;;;;;;;;;;
645;34501;SMAK_9SI-3-T94-021-RT-53;;;;;200;;;;;;;;;;;
646;34502;SMAK_9SI-3-T94-021-RT-51;;;;;200;;;;;;;;;;;
647;34503;9SI-3-T93-066-ZO-02;;;;;200;;;;;;;;;;;
648;34504;9SI-3-T93-066-RT-166;;;;;200;;;;;;;;;;;
649;34505;9SI-3-T93-066-RT-52;;;;;200;;;;;;;;;;;
650;34541;9SI-3-T94-003-ZO-01;;;;;200;;;;;;;;;;;
651;34542;9SI-3-T94-003-RT-57;;;;;200;;;;;;;;;;;
652;34543;9SI-3-T94-003-ZO-04;;;;;200;;;;;;;;;;;
653;34544;9SI-3-T94-003-RT-56;;;;;200;;;;;;;;;;;
654;34545;9SI-3-T94-003-ZO-27;;;;;200;;;;;;;;;;;
655;34586;9SI-3-T93-066-RT-163;;;;;200;;;;;;;;;;;
656;34587;LDKC-9SI-3-T93-070-RT-01;;;;;200;;;;;;;;;;;
657;34588;NUME_9SI-3-T94-069-RT-01;;;;;500;;;;;;;;;;;
658;34589;NUME_9SI-3-T94-068-RT-03;;;;;500;;;;;;;;;;;
659;34590;NUME_9SI-3-T94-068-RT-05;;;;;500;;;;;;;;;;;
660;34626;9SI-3-T93-070-RT-39;;;;;200;;;;;;;;;;;
661;34627;9SI-3-T93-070-RT-46;;;;;200;;;;;;;;;;;
662;34628;NUME_9SI-3-T94-065-RT-50;;;;;500;;;;;;;;;;;
663;34629;NUME_9SI-3-T94-065-RT-53;;;;;500;;;;;;;;;;;
664;34630;9SI-3-T94-065-RT-54;;;;;200;;;;;;;;;;;
665;34506;9SI-3-T93-066-RT-50;;;;;200;;;;;;;;;;;
666;34507;9SI-3-T93-066-ZO-50;;;;;200;;;;;;;;;;;
667;34508;9SI-3-T94-041-ZO-12;;;;;200;;;;;;;;;;;
668;34509;9SI-3-T94-080-RT-03;;;;;200;;;;;;;;;;;
669;34510;9SI-3-T94-080-ZO-07;;;;;200;;;;;;;;;;;
670;34546;9SI-3-T94-003-ZO-25;;;;;200;;;;;;;;;;;
671;34547;9SI-3-T94-003-RT-80;;;;;200;;;;;;;;;;;
672;34548;9SI-3-T94-080-RT-54;;;;;500;;;;;;;;;;;
673;34549;9SI-3-T94-080-RT-01;;;;;1000;;;;;;;;;;;
674;34550;9SI-3-T94-069-ZO-02;;;;;200;;;;;;;;;;;
675;34591;NUME_9SI-3-T94-068-RT-04;;;;;500;;;;;;;;;;;
676;34592;NUME_9SI-3-T94-068-RT-01;;;;;500;;;;;;;;;;;
677;34593;9SI-3-T94-033-RT-52;;;;;200;;;;;;;;;;;
678;34594;9SI-3-T94-033-RT-03;;;;;200;;;;;;;;;;;
679;34595;9SI-3-T94-033-ZO-09;;;;;200;;;;;;;;;;;
680;34631;9SI-3-T94-065-RT-50;;;;;200;;;;;;;;;;;
681;34632;9SI-3-T94-065-ZO-52;;;;;200;;;;;;;;;;;
682;34633;9SI-3-T94-033-ZO-10;;;;;200;;;;;;;;;;;
683;34634;9SI-3-T94-033-ZO-04;;;;;200;;;;;;;;;;;
684;34635;9SI-3-T94-033-RT-04;;;;;200;;;;;;;;;;;
685;34511;9SI-3-T94-080-ZO-05;;;;;200;;;;;;;;;;;
686;34512;9SI-3-T94-080-ZO-01;;;;;200;;;;;;;;;;;
687;34513;9SI-3-T94-041-RT-63;;;;;200;;;;;;;;;;;
688;34514;9SI-3-T94-041-RT-64;;;;;200;;;;;;;;;;;
689;34515;SMAK_9SI-3-T94-021-RT-59;;;;;200;;;;;;;;;;;
690;34551;9SI-3-T94-069-RT-02;;;;;200;;;;;;;;;;;
691;34552;9SI-3-T94-069-ZO-01;;;;;200;;;;;;;;;;;
692;34553;9SI-3-T94-041-ZO-01;;;;;200;;;;;;;;;;;
693;34554;9SI-3-T94-041-ZO-11;;;;;200;;;;;;;;;;;
