cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
4638680;HORS TERRITOIRE;IRS - CROISEMENT NEWTON-AMPERE/29 PROMENADE MICHEL SIMON;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;22/11/2011;22/11/2011;C;OPT;C;TR;RF16;72;72;0;6;;4;424,9240;;;22/11/2011;;;;
4594318;TERRITOIRE;IRS - 72FO - TCT POUR IRISE/CARNOT PREFECTURE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;30/01/2001;30/01/2001;C;OPT;C;TR;RF82;72;24;48;6;;193;3005,3587;;;30/01/2001;;;;
4625573;TERRITOIRE;IRS - 12FO - MONTROUGE CRECHE/MONTROUGE JARDIN ENFANCE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;14/02/2008;14/02/2008;C;OPT;C;DI;RF38;12;4;8;1;;4;18,0279;;;14/02/2008;;;;
15928690;TERRITOIRE;IRS -  RUE MOCQUET - ALLEE BECQUEREL VILLEJUIF / FT 527 - 23 RUE JEAN BAPTISTE BAUDIN VILLEJUIF;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;23/09/2019;23/09/2019;C;OPT;C;DI;RF27;12;12;0;2;;5;175,2778;;;23/09/2019;;;;
4614541;TERRITOIRE;A DEPOSER IRS - 288FO LD QUAI OUEST/IRS QUAI HAUT PONT D'ISSY;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;08/10/2007;08/10/2007;C;OPT;C;LH;RF32;288;288;0;24;;4;154,5368;;;08/10/2007;;;;
22184161;TERRITOIRE;IRS - 12FO - FT95 - 22 RUE AUGUSTE PERRET / POP STADE LOUIS DOLLY VILLEJUIF - AA;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;06/02/2021;06/02/2021;C;OPT;C;DI;RF27;12;10;2;2;;5;27,6756;;;06/02/2021;;;;
29218659;TERRITOIRE;24 FO - IRS - FT 703  AVENUE DU PRESIDENT WILSON / FT 1377  RUE COLMET LEPINAY (MONTREUIL);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;27/01/2022;27/01/2022;C;OPT;C;DI;RF29;24;22;2;4;;5;393,0858;;;27/01/2022;;;;
9959496;TERRITOIRE;144 - IRS - JD-C16775740-BPE 1 / BPE 2;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;29/04/2003;29/04/2003;C;OPT;C;LH;RF56;144;0;144;12;;4;275,1126;;;29/04/2003;;;;
31997537;TERRITOIRE;24 FO - POP MAIRIE DES PAVILLONS-SOUS-BOIS / POP CONSERVATOIRE MUNICIPAL BERLIOZ;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;08/06/2022;08/06/2022;C;OPT;C;DI;RF29;24;22;2;4;;5;737,7622;;;08/06/2022;;;;
22554068;TERRITOIRE;IRS - 12FO - FT2138 - 98 RUE SAINT DENIS (MONTREUIL) / POP CRECHE ET MULTI ACCUEIL EMMI PIKLER-EX LES PINS MONTREUIL - AA;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;04/03/2021;04/03/2021;C;OPT;C;DI;RF27;12;8;4;2;;5;91,9880;;;04/03/2021;;;;
