dm_cd_code;dm_cm_code;dm_creadat;dm_majdate;dm_majsrc;dm_abddate;dm_abdsrc
506609;586031;;;;;
506624;587337;;;;;
506625;587338;;;;;
506626;587338;;;;;
506953;586178;;;;;
506954;586179;;;;;
506955;586179;;;;;
506956;586180;;;;;
506957;586181;;;;;
537959;620833;;;;;
537960;620834;;;;;
533479;616033;;;;;
582761;653434;;;;;
582762;653434;;;;;
1788557;1428837;;;;;
1788559;1428839;;;;;
463776;586227;;;;;
463777;586227;;;;;
463778;586227;;;;;
463779;586227;;;;;
434386;563918;;;;;
434387;563918;;;;;
495188;563918;;;;;
495189;563918;;;;;
582467;653438;;;;;
582468;653438;;;;;
582469;653441;;;;;
582759;653437;;;;;
582760;653436;;;;;
3241663;559923;;;;;
3241660;559923;;;;;
1795587;1432673;;;;;
1795589;1432675;;;;;
653815;724247;;;;;
1788560;1428840;;;;;
3243260;561850;;;;;
3217343;586502;;;;;
3217655;586501;;;;;
3184381;586881;;;;;
3184376;559243;;;;;
3182458;564307;;;;;
9386615;8712378;;;;;
9386617;8712370;;;;;
9386618;8712371;;;;;
9386620;8712374;;;;;
3257986;558900;;;;;
399707;541271;;;;;
399708;541272;;;;;
401668;542852;;;;;
404006;546673;;;;;
404007;546674;;;;;
406188;546396;;;;;
404459;547560;;;;;
405478;543663;;;;;
405479;543664;;;;;
405480;543666;;;;;
405481;543553;;;;;
3205841;563614;;;;;
9089015;8272381;;;;;
9089016;8272409;;;;;
9089017;8272051;;;;;
9089018;8273649;;;;;
405376;544394;;;;;
3205834;563615;;;;;
3477505;2028219;;;;;
407215;545880;;;;;
407966;590734;;;;;
407967;590733;;;;;
407968;590732;;;;;
3206460;564086;;;;;
3204548;563295;;;;;
3470462;560396;;;;;
408559;547786;;;;;
3204546;563295;;;;;
408571;547793;;;;;
408572;547794;;;;;
408573;547796;;;;;
3477823;559545;;;;;
3477499;560537;;;;;
410082;590782;;;;;
410083;590781;;;;;
410084;590767;;;;;
411721;551231;;;;;
410772;551611;;;;;
3476219;2028209;;;;;
3476220;2028209;;;;;
3477826;559545;;;;;
3204540;562568;;;;;
409615;547188;;;;;
413823;552009;;;;;
413824;552010;;;;;
413825;552011;;;;;
3355584;563005;;;;;
412958;551978;;;;;
413642;551989;;;;;
414248;552090;;;;;
412190;590709;;;;;
412191;590708;;;;;
412192;590711;;;;;
412193;590710;;;;;
412917;551949;;;;;
9340222;8651927;;;;;
9340223;8651928;;;;;
9337980;8637491;;;;;
9337981;8637495;;;;;
412397;590731;;;;;
412398;590730;;;;;
414426;552104;;;;;
415663;551902;;;;;
415820;551675;;;;;
415827;551682;;;;;
416023;554841;;;;;
416042;565748;;;;;
416043;565749;;;;;
416044;565751;;;;;
416045;565753;;;;;
416053;565761;;;;;
416054;565762;;;;;
416055;565764;;;;;
416072;565774;;;;;
416073;565776;;;;;
3249340;587436;;;;;
415195;554233;;;;;
418995;565705;;;;;
