WKT;ND_CODE;ND_CODEEXT;ND_NOM;ND_CODERAT;ND_R1_CODE;ND_R2_CODE;ND_R3_CODE;ND_R4_CODE;ND_VOIE;ND_TYPE;ND_TYPE_EP;ND_COMMENT;ND_DTCLASS;ND_GEOLQLT;ND_GEOLMOD;ND_GEOLSRC;ND_CREADAT;ND_MAJDATE;ND_MAJSRC;ND_ABDDATE;ND_ABDSRC
"POINT (658718.681175148 6868103.80412507)";"1727688";"1727688";MH2782;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (661094.046554232 6857881.14986136)";"1538561";"1538561";COMMUNE;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-10-20 00:00:00;;;;
"POINT (656667.342802499 6850564.20547583)";"1731544";"1731544";MH2895;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (649894.247002512 6868782.28209441)";"1400046";"1400046";MH732;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-16 00:00:00;;;;
"POINT (652967.944432802 6855142.47272957)";"1729284";"1729284";MH2633;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-21 00:00:00;;;;
"POINT (639795.470509422 6878069.33295711)";"1369936";"1369936";SFRCOLL_MH1369936;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-27 00:00:00;;;;
"POINT (659962.085632598 6867968.07715115)";"1769281";"1769281";FRANCE TELECOM;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2016-08-29 00:00:00;;;;
"POINT (651792.852019615 6852647.98206109)";"1807028";"1807028";FRANCE TELECOM 2;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-09-20 00:00:00;;;;
"POINT (656885.402734622 6850974.38373139)";"1802870";"1802870";NOOS;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-09-15 00:00:00;;;;
"POINT (632138.94569718 6882939.33202105)";"1368005";"1368005";SFRCOLL_MH1368005;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-26 00:00:00;;;;
"POINT (655679.909821101 6851241.75143768)";"1367042";"1367042";SFRCOLL_MH1367042;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-25 00:00:00;;;;
"POINT (666442.908562415 6859227.24964361)";"428161";"428161";IRS - 29 RUE FRIEDBERG (VILLIERS SUR MARNE);;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-06-14 00:00:00;;;;
"POINT (655034.869193006 6851895.56554658)";"476805";"476805";RUE MAUREPAS (THIAIS);;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-07-16 00:00:00;;;;
"POINT (659722.024395934 6865509.8222053)";"1392981";"1392981";COMMUNE;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-02 00:00:00;;;;
"POINT (646022.937714726 6846816.95424401)";"1400647";"1400647";MH225;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-17 00:00:00;;;;
"POINT (660555.055036024 6864710.01881443)";"1735376";"1735376";MH2984;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (658000.99614708 6867927.42760024)";"6464945";"6464945";MH4192570;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2023-07-26 00:00:00;;;;
"POINT (664131.152788823 6857253.18869471)";"2514227";"2514227";L3T - IRS - 52 RUE ALBERT THOMAS;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-09-28 00:00:00;;;;
"POINT (659263.129455882 6867381.55147571)";"1737935";"1737935";MH2953;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (654283.628850951 6867440.93482322)";"1731878";"1731878";MH2045;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (660720.497455618 6864912.91154899)";"1736641";"1736641";MH3018;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (652933.196749092 6869750.83259213)";"1746571";"1746571";MH056;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-07-06 00:00:00;;;;
"POINT (631570.441714929 6882797.43900556)";"1456008";"1456008";MH1456008;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-07-16 00:00:00;;;;
"POINT (661736.275390256 6864442.22939237)";"1431063";"1431063";MH994;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-06-15 00:00:00;;;;
"POINT (655739.347473782 6870081.65977751)";"1338603";"1338603";"-";;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-07-08 00:00:00;;;;
"POINT (652167.096694995 6868478.19652575)";"433281";"433281";IRS- 164 RUE LANDY (SAINT DENIS);;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-06-18 00:00:00;;;;
"POINT (660506.959141533 6864654.26799516)";"1736009";"1736009";MH2992;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (646401.659428396 6847707.67779092)";"1406765";"1406765";MH505;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-29 00:00:00;;;;
"POINT (649718.942492103 6872764.46610822)";"1741450";"1741450";FRANCE TELECOM;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (660735.182391512 6851989.37132907)";"1353476";"1353476";FRANCE TELECOM 2071;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-03-07 00:00:00;;;;
"POINT (661435.655079735 6859118.8853922)";"1460801";"1460801";NUMERICABLE III;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-07-21 00:00:00;;;;
"POINT (664479.954501611 6858147.83366214)";"652482";"652482";105 RUE GUY MOQUET (CHAMPIGNY/MARNE);;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-10-25 00:00:00;;;;
"POINT (660734.166684807 6868167.03609211)";"1605122";"1605122";FRANCE TELECOM CH 852;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2015-12-09 00:00:00;;;;
"POINT (657216.162072455 6865916.11940195)";"1351476";"1351476";RUE COURTOIS;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-07-08 00:00:00;;;;
"POINT (642591.207640735 6860800.29467537)";"1493446";"1493446";SITER;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-09-03 00:00:00;;;;
"POINT (657919.43486808 6868345.96010628)";"740498";"740498";FT-240;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2014-01-09 00:00:00;;;;
"POINT (643253.383973049 6868393.37210777)";"2575992";"2575992";L3T IRISE;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2018-11-22 00:00:00;;;;
"POINT (653051.479517475 6867907.63502618)";"1391682";"1391682";AB TELEVISION 1;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-03-30 00:00:00;;;;
"POINT (632268.021673043 6885451.16764442)";"1360969";"1360969";SFRCOLL_MH1360969;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-23 00:00:00;;;;
"POINT (652200.851274449 6857621.23227866)";"2496636";"2496636";FRANCE TELECOM NÂ°20;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2018-09-13 00:00:00;;;;
"POINT (653514.907916642 6852281.28432358)";"2511346";"2511346";FRANCE TELECOM;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2018-09-26 00:00:00;;;;
"POINT (639313.543415244 6878674.26845024)";"2646709";"2646709";FRANCE TELECOM 95306/762;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2019-02-05 00:00:00;;;;
"POINT (635943.123234354 6881223.16813795)";"193260";"193260";FRANCE TELECOM NÂ°946;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2012-05-03 00:00:00;;;;
"POINT (637527.525065089 6882955.62513319)";"2070387";"2070387";FT 95572-2291;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2017-05-24 00:00:00;;;;
"POINT (651800.653103711 6852645.84961411)";"1807031";"1807031";SEMMACH;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-09-20 00:00:00;;;;
"POINT (658066.86997138 6864995.5723231)";"2804299";"2804299";MH4066;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2019-08-21 00:00:00;;;;
"POINT (654064.129497176 6868905.32549373)";"1725788";"1725788";MH2063;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (654096.745203945 6867130.86764462)";"1731841";"1731841";MH2019;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (642579.86764701 6869699.34807506)";"152752";"152752";IRS - RUE DE LA MAIRIE - BEZONS;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2009-02-10 00:00:00;;;;
"POINT (655033.030910085 6851896.65551546)";"1363210";"1363210";FRANCE TELECOM 383;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-24 00:00:00;;;;
"POINT (658652.76647567 6864925.41383608)";"1739865";"1739865";MH2209;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (645791.629428742 6847605.10637437)";"1406733";"1406733";MH680;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-29 00:00:00;;;;
"POINT (645929.608710282 6847202.15608394)";"1400664";"1400664";MH581;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-17 00:00:00;;;;
"POINT (661008.245557182 6872545.41452718)";"1341416";"1341416";MULTI OPERATEUR 4;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-07-08 00:00:00;;;;
"POINT (635284.533236082 6880426.59706489)";"1370565";"1370565";SFRCOLL_MH1370565;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-27 00:00:00;;;;
"POINT (651425.114656317 6869203.13080178)";"1743684";"1743684";MH2080;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (652200.345820491 6852513.21272624)";"1764484";"1764484";CG94;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2016-08-18 00:00:00;;;;
"POINT (658113.612405602 6870444.33458786)";"640961";"640961";FT_41 - AV MARCEL DASSAULT (LE BOURGET);;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2013-10-17 00:00:00;;;;
"POINT (654522.385900619 6870164.0476173)";"1735053";"1735053";MH2133;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-27 00:00:00;;;;
"POINT (641325.240388074 6867022.53170703)";"1430727";"1430727";MH1025;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-06-15 00:00:00;;;;
"POINT (661308.00972434 6861313.15306119)";"1339156";"1339156";"-";;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-06-26 00:00:00;;;;
"POINT (659724.918249917 6865510.15308979)";"1392979";"1392979";FRANCE TELECOM 1;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-02 00:00:00;;;;
"POINT (658488.339680845 6864910.38421257)";"1370562";"1370562";FRANCE TELECOM;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-27 00:00:00;;;;
"POINT (656703.239969111 6851541.59105272)";"1346059";"1346059";L3T - FRANCE TELECOM;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-09-26 00:00:00;;;;
"POINT (630846.068854996 6885069.63137636)";"1765761";"1765761";FRANCE TELECOM 95476-365;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-08-19 00:00:00;;;;
"POINT (649477.697406948 6873095.69693878)";"1741125";"1741125";MH2401;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (646209.885294581 6847712.03179937)";"1406753";"1406753";MH599;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-29 00:00:00;;;;
"POINT (650225.106720453 6867173.02242968)";"1744641";"1744641";MH2642;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (659668.407460522 6871308.89374657)";"2478070";"2478070";FRANCE TELECOM I;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-08-10 00:00:00;;;;
"POINT (666094.908960275 6868925.1684551)";"1802865";"1802865";CHAMBRE L1T COMMUNALE;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2018-08-10 00:00:00;;;;
"POINT (629530.713240687 6883820.96803751)";"2495036";"2495036";AVENUE DES BEGUINES;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2018-09-12 00:00:00;;;;
"POINT (666486.928733861 6855625.75865427)";"1389141";"1389141";FRANCE TELECOM 3;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-03-27 00:00:00;;;;
"POINT (656328.922506272 6854129.67126452)";"2631358";"2631358";SFR/NC L5T;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2019-01-21 00:00:00;;;;
"POINT (651065.688917457 6867779.60315673)";"2568625";"2568625";IRISE 54 AV GABRIEL PERI;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2018-11-15 00:00:00;;;;
"POINT (647840.698292178 6855281.9175062)";"1763523";"1763523";TIERS 1;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-08-16 00:00:00;;;;
"POINT (634855.807989124 6880329.84695008)";"1370567";"1370567";SFRCOLL_MH1370567;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-27 00:00:00;;;;
"POINT (655068.147223105 6854356.59442623)";"1381762";"1381762";MH1381762;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-03-20 00:00:00;;;;
"POINT (654365.274279715 6869808.74265613)";"1736964";"1736964";MH2506;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (641257.718532918 6867086.79583869)";"1430730";"1430730";MH1029;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-06-15 00:00:00;;;;
"POINT (630801.846952582 6885078.46002135)";"366401";"366401";FRANCE TELECOM 95476-384;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-05-03 00:00:00;;;;
"POINT (659169.866680602 6864804.62759671)";"2804228";"2804228";MH4028;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2019-08-21 00:00:00;;;;
"POINT (631793.992620679 6885165.54131612)";"1360972";"1360972";SFRCOLL_MH1360972;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-23 00:00:00;;;;
"POINT (647071.07537013 6859256.55526579)";"2496633";"2496633";FRANCE TELECOM NÂ°01260;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;B;;;;2018-09-13 00:00:00;;;;
"POINT (649812.40163226 6868960.55204865)";"1400039";"1400039";MH740;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-16 00:00:00;;;;
"POINT (649808.209213355 6872732.43194523)";"1741441";"1741441";MH2419;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (650292.520387028 6867097.30138811)";"1744961";"1744961";FRANCE TELECOM 1;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (648216.290548817 6855496.57112426)";"1763521";"1763521";FRANCE TELECOM 92007-378;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-08-16 00:00:00;;;;
"POINT (658955.803138744 6865011.45996013)";"1739855";"1739855";MH2219;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (640519.461137296 6856950.09116526)";"1391367";"1391367";FRANCE TELECOM IV;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-03-30 00:00:00;;;;
"POINT (650509.200008172 6868544.91254154)";"1732484";"1732484";MH2720;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (646015.370510641 6846829.64271615)";"1400649";"1400649";MH226;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-17 00:00:00;;;;
"POINT (649541.391573127 6872862.59262565)";"1741133";"1741133";MH2413;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (655602.804789743 6857251.94177636)";"2505597";"2505597";SIP-MOL-07;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-09-20 00:00:00;;;;
"POINT (652533.521602248 6868782.53460239)";"1743364";"1743364";MH2164;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (656039.727653872 6856774.53286174)";"2516477";"2516477";SIP-VNS5-1-02;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-10-01 00:00:00;;;;
"POINT (661326.192280024 6858385.98497295)";"521923";"521923";53 AVENUE FOCH (JOINVILLE LE PONT);;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-08-13 00:00:00;;;;
"POINT (652665.402248066 6868550.78322649)";"1743401";"1743401";MH2178;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (654349.505494522 6869756.50351684)";"1736972";"1736972";FRANCE TELECOM;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (656828.846124161 6851631.56680009)";"1406773";"1406773";MH892;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-29 00:00:00;;;;
"POINT (633600.217962258 6884360.75049383)";"1360965";"1360965";SFRCOLL_MH1360965;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-02-23 00:00:00;;;;
"POINT (652999.603688291 6870138.90371521)";"1742098";"1742098";MH2511;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (648934.116250436 6873685.69150528)";"1389450";"1389450";MH1389450;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2014-12-18 00:00:00;;;;
"POINT (659132.525472507 6864623.10829768)";"1739536";"1739536";MH2242;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (655117.365503384 6856891.10651308)";"2481587";"2481587";19 RUE RASPAIL;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-08-22 00:00:00;;;;
"POINT (656220.662534481 6857545.18389771)";"180601";"180601";IRS - RUE GALILEE;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2004-02-05 00:00:00;;;;
"POINT (652693.37143176 6868783.68449594)";"1743377";"1743377";MH2151;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (650854.455952754 6868376.08766293)";"1733762";"1733762";MH2736;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (658921.669228801 6863716.4903187)";"2804300";"2804300";MH4087;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2019-08-21 00:00:00;;;;
"POINT (659175.640574612 6867402.15955786)";"1737939";"1737939";MH2941;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (651744.059277941 6869351.76633021)";"1744004";"1744004";MH2104;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (655523.016811947 6857356.49783112)";"2505594";"2505594";SIP-MOL-04;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-09-20 00:00:00;;;;
"POINT (652717.764924734 6868801.27382449)";"1743375";"1743375";MH2153;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (655925.771742843 6857575.37014751)";"2505292";"2505292";DOSTIC;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-09-20 00:00:00;;;;
"POINT (658684.543105762 6864933.79673376)";"1739864";"1739864";MH2210;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (666136.263159032 6859894.55854679)";"1456011";"1456011";FRANCE TELECOM 550;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-07-16 00:00:00;;;;
"POINT (650259.918434995 6867216.19025974)";"1744643";"1744643";MH2641;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (651612.648727255 6869436.97834544)";"2463026";"2463026";MH0012;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-07-05 00:00:00;;;;
"POINT (653055.329138198 6867907.36762203)";"649281";"649281";AVENUE DE LA METALLURGIE I;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-10-24 00:00:00;;;;
"POINT (653079.828301908 6852535.97039192)";"1476836";"1476836";MH1476836;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-08-11 00:00:00;;;;
"POINT (651745.121922557 6869353.37124704)";"1744007";"1744007";MH2097;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (651500.642481543 6869279.20193578)";"1743681";"1743681";MH2083;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (659372.464381698 6865326.81114858)";"1392986";"1392986";COMMUNE;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-02 00:00:00;;;;
"POINT (660714.802107046 6872716.6540782)";"1337494";"1337494";AVENUE JACQUES DAGUERRE;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-03-07 00:00:00;;;;
"POINT (650597.579268881 6856893.44112177)";"2495988";"2495988";NUMERICABLE;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-09-13 00:00:00;;;;
"POINT (654676.919125041 6868665.71281617)";"1802225";"1802225";FRANCE TELECOM 1;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-09-14 00:00:00;;;;
"POINT (653606.494284564 6867660.19727482)";"1444829";"1444829";MH1444829;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-07-02 00:00:00;;;;
"POINT (655974.178035731 6857174.84777599)";"2516810";"2516810";SIP-VNS5-2-02;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-10-01 00:00:00;;;;
"POINT (650582.426864407 6856893.19535204)";"2495989";"2495989";COMPLETEL;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-09-13 00:00:00;;;;
"POINT (649976.705720892 6868963.28850534)";"1400033";"1400033";MH703;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-04-16 00:00:00;;;;
"POINT (658037.238871147 6868128.35919369)";"6462394";"6462394";MH4192563;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2023-07-26 00:00:00;;;;
"POINT (649574.334289073 6872955.7540638)";"1741139";"1741139";MH2432;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (650487.029857488 6868576.50333953)";"1732485";"1732485";MH2719;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (649015.704677326 6873623.17166236)";"1389449";"1389449";MH1389449;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2014-12-18 00:00:00;;;;
"POINT (651573.399051015 6869443.36273934)";"2463038";"2463038";MH0003;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2018-07-05 00:00:00;;;;
"POINT (654471.367443509 6849757.78275738)";"1065926";"1065926";ROUTE CHARLES TILLON;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2014-07-24 00:00:00;;;;
"POINT (660738.787880358 6864833.6263893)";"1736646";"1736646";MH3024;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (640319.677762962 6865164.60921473)";"1342478";"1342478";CEGETEL;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2014-05-22 00:00:00;;;;
"POINT (660469.12365252 6864629.83561996)";"1736014";"1736014";MH2994;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (660023.115809604 6867744.90210328)";"1768962";"1768962";MH808;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-08-26 00:00:00;;;;
"POINT (654675.293023818 6868667.70287901)";"1802226";"1802226";IRISE ?;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-09-14 00:00:00;;;;
"POINT (652632.724598044 6868683.5367821)";"1743373";"1743373";MH2157;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2016-06-20 00:00:00;;;;
"POINT (656165.06655641 6874825.21075579)";"169224";"169224";IRS - N-1 MAIRIE GARGES LES GONESSES;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2007-03-15 00:00:00;;;;
"POINT (650578.851906578 6856855.52642708)";"1338006";"1338006";"-";;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2013-06-28 00:00:00;;;;
"POINT (640534.653951801 6856957.77577118)";"1391364";"1391364";RUE SALENGRO I;;SFR_COLL;DSP MAJ - IRISE;;;;PT;OPT;;A;;;;2015-03-30 00:00:00;;;;
