WKT;ND_CODE;ND_CODEEXT;ND_NOM;ND_CODERAT;ND_R1_CODE;ND_R2_CODE;ND_R3_CODE;ND_R4_CODE;ND_VOIE;ND_TYPE;ND_TYPE_EP;ND_COMMENT;ND_DTCLASS;ND_GEOLQLT;ND_GEOLMOD;ND_GEOLSRC;ND_CREADAT;ND_MAJDATE;ND_MAJSRC;ND_ABDDATE;ND_ABDSRC
"POINT (642658.824697363 6869738.83044926)";"3461479";"3461479";POP MAIRIE DE BEZONS;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2009-02-10 00:00:00;;;;
"POINT (642748.430596708 6868799.641904)";"3461484";"3461484";POP CITEC HAUTES PATURES NANTERRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2011-11-21 00:00:00;;;;
"POINT (642719.882314866 6868677.95045333)";"3461486";"3461486";POP SOCIETE BOXCONTACT;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2004-12-20 00:00:00;;;;
"POINT (642880.031964573 6860496.07669158)";"3461498";"3461498";POP BUREAUX DE LA COLLINE (ST CLOUD);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2010-06-18 00:00:00;;;;
"POINT (642918.141339644 6868843.18816402)";"3461501";"3461501";POP CREDIT COOPERATIF HAUTES PATURES NANTERRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2009-02-05 00:00:00;;;;
"POINT (642916.359871943 6865771.0388989)";"3461504";"3461504";POP CENTRE SOCIAL ET CULTUREL NANTERRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2010-05-04 00:00:00;;;;
"POINT (642897.013737428 6868137.40259064)";"3461506";"3461506";POP MAIRIE DE QUARTIER PETIT NANTERRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2011-02-10 00:00:00;;;;
"POINT (643094.450895373 6866913.35872229)";"3461523";"3461523";POP JET MULTIMEDIA (NANTERRE);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-07-10 00:00:00;;;;
"POINT (643324.842453464 6865621.70032988)";"3461569";"3461569";POP MAIRIE DE QUARTIER DU PARC NANTERRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2010-05-04 00:00:00;;;;
"POINT (643610.377939962 6859035.26514247)";"3461609";"3461609";BOULOGNE BILLANCOURT 25;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2003-12-24 00:00:00;;;;
"POINT (643954.145611204 6872378.39040246)";"3461628";"3461628";POP IUT ARGENTEUIL;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-11-22 00:00:00;;;;
"POINT (643939.282345499 6861313.13123989)";"3461634";"3461634";AP-HP - HOPITAL AMBROISE PARE BOULOGNE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2004-04-14 00:00:00;;;;
