cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
4614422;429836;31/07/2007;;;;
4633361;429836;23/09/2009;;;;
13949154;509038;08/01/2019;;;;
16696081;425698;05/12/2019;;;;
4605490;425698;01/03/2006;;;;
26141857;425698;03/10/2021;;;;
7049811;978940;16/07/2013;;;;
4640613;504016;24/04/2012;;;;
18573505;447469;28/05/2020;;;;
4610918;447469;04/08/2010;;;;
4594712;440213;09/10/2002;;;;
34618022;449188;25/10/2022;;;;
4603679;471433;27/09/2004;;;;
4608501;503837;17/01/2006;;;;
19396546;9130618;23/07/2020;;;;
25876259;1557816;21/02/2012;;;;
4596871;;07/07/2005;;;;
23748257;;22/05/2021;;;;
16761009;486651;12/12/2019;;;;
8683809;3290621;14/10/2014;;;;
4597390;424975;30/01/2001;;;;
4636422;3305336;02/02/2011;;;;
7138148;470504;23/07/2013;;;;
4605439;433658;15/10/2004;;;;
7033173;3275905;15/07/2013;;;;
4602851;439086;09/05/2005;;;;
4634671;491563;26/01/2011;;;;
4631221;440211;09/04/2009;;;;
4631569;416045;23/07/2009;;;;
4607560;416045;17/07/2009;;;;
4618846;3306945;19/12/2011;;;;
4608628;472048;24/06/2005;;;;
4629729;472048;13/08/2012;;;;
4607268;485899;20/03/2007;;;;
12710247;3291581;04/04/2018;;;;
7134465;635589;22/07/2013;;;;
4612083;635589;13/04/2007;;;;
4602175;635589;18/11/2002;;;;
4610330;3300215;20/04/2012;;;;
4604908;439689;03/08/2009;;;;
36654817;463403;10/02/2023;;;;
4608006;501330;25/11/2004;;;;
6173649;486866;16/04/2013;;;;
4627316;431572;01/02/2008;;;;
7503585;1597496;15/11/2013;;;;
4630736;507205;06/03/2009;;;;
4614475;507205;26/04/2007;;;;
4639359;430480;20/04/2012;;;;
4600628;504542;30/01/2001;;;;
15580344;504542;17/08/2019;;;;
19913010;658284;31/08/2020;;;;
4611163;427724;19/02/2007;;;;
4599472;486766;20/08/2002;;;;
8114241;486766;25/04/2014;;;;
6586146;8172856;05/06/2013;;;;
4609708;454134;01/02/2011;;;;
6338182;8172215;07/05/2013;;;;
6338181;8172215;07/05/2013;;;;
4609791;435902;29/07/2005;;;;
41994978;434551;04/08/2005;;;;
11062488;8175425;17/03/2017;;;;
15288133;9226623;11/07/2019;;;;
4607194;489523;25/02/2005;;;;
44806819;977976;15/05/2024;;;;
11023122;440078;08/03/2013;;;;
17213157;9270194;29/01/2020;;;;
4640785;659888;20/01/2012;;;;
4620743;494756;23/04/2009;;;;
4641074;436857;23/01/2012;;;;
7960337;508584;18/03/2014;;;;
4619189;499567;04/09/2009;;;;
8556116;426492;05/09/2014;;;;
4609657;430683;01/02/2011;;;;
4609655;430683;01/02/2011;;;;
4629777;431930;06/01/2009;;;;
5038936;1203911;23/11/2012;;;;
4594837;430484;15/11/2002;;;;
8841921;490369;02/12/2014;;;;
4596648;501943;05/08/2008;;;;
7373089;467171;08/10/2013;;;;
4598173;433115;27/04/2005;;;;
7085969;433115;17/07/2013;;;;
15413810;433115;26/07/2019;;;;
4639041;3451583;05/09/2011;;;;
4638267;3451583;05/08/2011;;;;
7166951;501328;01/01/2002;;;;
7328558;436211;24/09/2013;;;;
4628998;509037;04/09/2008;;;;
4599548;509037;01/09/2008;;;;
4610078;507397;14/11/2006;;;;
43953379;441137;08/08/2002;;;;
4598956;432013;30/01/2001;;;;
4605287;429259;26/06/2004;;;;
34654513;3272380;21/11/2007;;;;
4609579;427938;08/01/2008;;;;
9319761;415820;15/09/2015;;;;
4608190;466363;21/03/2005;;;;
8565393;492103;09/09/2014;;;;
17201653;491483;28/01/2020;;;;
4602070;658285;07/02/2012;;;;
4632374;436664;16/09/2009;;;;
4597729;3477815;29/09/2004;;;;
6775249;626284;21/06/2013;;;;
7890531;431564;03/03/2014;;;;
36651321;507113;10/02/2023;;;;
4625844;430055;25/06/2008;;;;
4600843;425835;01/01/2003;;;;
15512994;;07/08/2019;;;;
4596034;429869;30/01/2001;;;;
4598445;485949;23/08/2002;;;;
4605635;489758;25/10/2004;;;;
7735602;434516;22/01/2014;;;;
4594523;3191101;10/11/2004;;;;
4614418;426687;31/07/2007;;;;
4633403;428714;24/07/2009;;;;
4636685;418795;06/04/2011;;;;
45204257;468883;07/06/2024;;;;
4604902;436021;03/08/2009;;;;
4632888;439065;16/12/2011;;;;
4631474;432271;09/04/2009;;;;
4631473;432271;09/04/2009;;;;
5009491;432271;20/11/2012;;;;
11030150;408572;13/03/2017;;;;
4607227;485781;03/10/2005;;;;
4639666;967118;03/05/2012;;;;
14840038;465344;20/05/2019;;;;
4641751;;03/05/2012;;;;
4630888;8293181;23/09/2009;;;;
4614882;472406;11/06/2007;;;;
7147282;8171578;25/07/2013;;;;
4614067;437513;19/07/2007;;;;
4632366;979645;22/07/2009;;;;
4607462;431212;06/08/2008;;;;
45515627;426766;27/06/2024;;;;
45509229;426766;27/06/2024;;;;
4609532;437003;07/12/2005;;;;
4603467;1503101;20/06/2011;;;;
24843618;1503101;21/07/2021;;;;
24851634;1503101;21/07/2021;;;;
10801714;431412;06/12/2012;;;;
4643196;439305;09/07/2012;;;;
4607238;469812;06/08/2008;;;;
15189494;1577343;01/07/2019;;;;
31730354;466925;24/05/2022;;;;
8464277;466925;05/08/2014;;;;
4597781;431305;09/12/2009;;;;
4600067;435484;01/01/2003;;;;
4614080;435484;25/10/2007;;;;
4633205;427329;28/07/2009;;;;
4633202;427329;28/07/2009;;;;
4632108;427329;17/07/2009;;;;
4635300;427329;26/11/2010;;;;
4632101;427329;17/07/2009;;;;
4610945;460314;19/07/2006;;;;
7847283;460314;20/02/2014;;;;
10803926;8163270;23/01/2017;;;;
12114641;8163270;06/11/2017;;;;
4608196;457544;22/03/2005;;;;
11082260;426630;21/01/2013;;;;
4623780;503623;19/07/2012;;;;
4607278;472388;03/12/2009;;;;
7188377;472388;08/08/2013;;;;
17810273;435708;23/03/2020;;;;
17589201;435708;03/03/2020;;;;
7683457;491908;09/01/2014;;;;
4614885;466530;11/06/2007;;;;
4637503;489787;25/01/2011;;;;
4633198;434606;28/07/2009;;;;
11106582;434606;27/03/2017;;;;
4633197;434606;28/07/2009;;;;
24913384;430297;26/07/2021;;;;
4609310;501396;31/08/2005;;;;
4600889;426224;30/01/2001;;;;
16844242;9097976;19/12/2019;;;;
7814306;501078;18/10/2005;;;;
17229474;437057;23/02/2005;;;;
34476258;439506;17/10/2022;;;;
4640091;964544;19/12/2011;;;;
17177011;436917;24/01/2020;;;;
17394612;436917;13/02/2020;;;;
16681012;9099266;04/12/2019;;;;
7764386;436874;29/01/2014;;;;
24196594;436874;16/06/2021;;;;
12740853;461242;10/04/2018;;;;
4602686;461242;25/11/2011;;;;
4636779;8139897;18/11/2010;;;;
12933224;437064;05/06/2018;;;;
4607753;472445;21/03/2005;;;;
7408545;8217657;17/10/2013;;;;
4638828;1582142;29/12/2011;;;;
25545065;1582142;02/09/2021;;;;
5822946;428720;06/03/2013;;;;
4610014;430059;21/10/2004;;;;
16531587;;20/11/2019;;;;
4600449;434490;19/02/2010;;;;
4608257;434490;14/11/2005;;;;
4595994;434490;30/01/2001;;;;
17726791;435879;13/03/2020;;;;
16288195;435879;29/10/2019;;;;
15515347;435879;07/08/2019;;;;
16464609;435879;14/11/2019;;;;
42599778;488973;26/12/2023;;;;
4598669;488973;30/01/2001;;;;
4600609;488973;30/01/2001;;;;
4630982;439498;13/05/2011;;;;
15859589;439498;17/09/2019;;;;
14862849;430925;22/05/2019;;;;
4637221;3341506;15/03/2011;;;;
26123035;492057;01/10/2021;;;;
4639978;659881;22/02/2012;;;;
4639851;965495;20/02/2012;;;;
