ps_code;ps_numero;ps_1;ps_2;ps_cs_code;ps_ti_code;ps_type;ps_fonct;ps_etat;ps_preaff;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS000000070795;2;FO000000091756;FO000000092392;1983525;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070796;3;FO000000091757;FO000000092393;1983525;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070797;4;FO000000091758;FO000000092394;1983525;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070798;5;FO000000091759;FO000000092395;1983525;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070799;6;FO000000091760;FO000000092396;1983525;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070800;1;FO000000091761;FO000000092409;1983526;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070801;2;FO000000091762;FO000000092410;1983526;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070802;3;FO000000091763;FO000000092411;1983526;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070803;4;FO000000091764;FO000000092412;1983526;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070804;5;FO000000091765;FO000000092413;1983526;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070805;6;FO000000091766;FO000000092414;1983526;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070806;0;FO000000091873;FO000000266272;1983574;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070807;0;FO000000091874;FO000000266273;1983574;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070808;1;FO000000091971;FO000000001921;;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070809;2;FO000000091972;FO000000001922;;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070810;1;FO000000091983;FO000000092031;1797276;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070811;2;FO000000091984;FO000000092032;1797276;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070812;0;FO000000091985;FO000000093461;1797218;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070813;0;FO000000091986;FO000000093462;1797218;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070814;5;FO000000091987;FO000000092035;1797276;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070816;6;FO000000091988;FO000000092036;1797276;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070818;7;FO000000091989;FO000000093405;1797218;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070819;8;FO000000091990;FO000000093406;1797218;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070820;9;FO000000091991;FO000000092039;1797276;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070822;10;FO000000091992;FO000000092040;1797276;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070824;0;FO000000091993;FO000000093459;1797218;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070825;0;FO000000091994;FO000000093460;1797218;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070830;3;FO000000091997;FO000000092045;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070832;4;FO000000091998;FO000000092046;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070834;5;FO000000091999;FO000000092047;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070836;6;FO000000092000;FO000000092048;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070838;7;FO000000092001;FO000000092049;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070839;8;FO000000092002;FO000000092050;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070840;9;FO000000092003;FO000000092051;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070841;10;FO000000092004;FO000000092052;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070842;11;FO000000092005;FO000000092053;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070843;12;FO000000092006;FO000000092054;1797277;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070844;1;FO000000092007;FO000000092055;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070846;2;FO000000092008;FO000000092056;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070848;3;FO000000092009;FO000000092057;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070849;4;FO000000092010;FO000000092058;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070850;5;FO000000092011;FO000000092059;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070852;6;FO000000092012;FO000000092060;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070854;7;FO000000092013;FO000000092061;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070856;8;FO000000092014;FO000000092062;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070858;9;FO000000092015;FO000000092063;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070860;10;FO000000092016;FO000000092064;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070862;11;FO000000092017;FO000000092065;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070864;12;FO000000092018;FO000000092066;1797278;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070866;1;FO000000092019;FO000000092067;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070868;2;FO000000092020;FO000000092068;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070870;3;FO000000092021;FO000000092069;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070872;4;FO000000092022;FO000000092070;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070874;5;FO000000092023;FO000000092071;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070876;6;FO000000092024;FO000000092072;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070878;7;FO000000092025;FO000000092073;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
